species,area,wc2.1_5m_bio_2,wc2.1_5m_bio_5,wc2.1_5m_bio_7,wc2.1_5m_bio_8,wc2.1_5m_bio_9,wc2.1_5m_bio_13,wc2.1_5m_bio_14,wc2.1_5m_bio_15,wc2.1_5m_bio_18,wc2.1_5m_bio_19,elev
Palicourea_thyrsiflora,A,0.987487488,1.382485314,1.040641889,1.265788375,1.2714621,2.421603927,1.826074803,1.534722341,2.668385917,2.75281372,1682
Palicourea_tomentosa,E2,0.965127184,1.489740295,1.040997683,1.40038831,1.402845788,2.583198774,1.900289811,1.642031536,2.751279104,2.930439595,262
Palicourea_topoensis,out,0.974787926,1.405585391,1.025264735,1.287764401,1.298954914,2.598790507,2.230899279,1.414911397,2.835690571,3.010723865,1389
Palicourea_trianae,A,0.939290387,1.442542486,0.978956098,1.36302565,1.348866018,2.611723308,2.250420002,1.387959345,2.928395852,2.92890769,627
Palicourea_triphylla,E,1.006105758,1.501107192,1.106139836,1.406724652,1.404890713,2.563481085,1.707570176,1.722460555,2.716003344,2.793789823,258
Palicourea_ulloana,A,0.996084639,1.370679598,1.06081113,1.23451308,1.236239062,2.367355921,1.986771734,1.423231495,2.586587305,2.776701184,2056
Palicourea_umbelliformis,C,0.920562453,1.471159636,1.025879096,1.368606053,1.376105293,2.640481437,1.484241474,1.74713347,2.710963119,2.95568775,524
Palicourea_valerioana,out,0.908167696,1.438573985,1.036948132,1.33725622,1.343539893,2.565847819,1.568201724,1.722136495,2.46686762,2.804139432,890
Palicourea_winkleri,E,0.987528495,1.486812887,1.051036685,1.378119181,1.380651356,2.511883361,1.973127854,1.545579023,2.717670503,2.888179494,524
Palicourea_woronovii,E,0.986110848,1.487293892,1.047839283,1.393893843,1.405964235,2.545307116,2.01047053,1.519584731,2.736641274,2.951574849,316
Palicourea_yneziae,E2,1.020319844,1.497703488,1.076567612,1.408449145,1.404403211,2.361727836,2.1430148,1.265495632,2.752048448,2.725094521,414
Psychotria_bertieroides,E,0.975887285,1.485579479,1.04182675,1.392515228,1.400117609,2.532754379,2.167317335,1.344182144,2.806179974,2.925312091,401
Psychotria_bolivarensis,E2,0.957160171,1.487816861,1.006037929,1.394912594,1.408771183,2.516534871,2.1430148,1.434251194,2.767525474,2.87820698,251.5
Psychotria_bremekampiana,E,0.908752995,1.503586424,1.002122837,1.415996621,1.424500528,2.498310554,1.851258349,1.662236378,2.605305046,2.904174368,108
Psychotria_everardii,E,1.006972086,1.444107293,1.068964691,1.331373321,1.325358261,2.51851394,1.698970004,1.77030355,2.705007959,2.372912003,1216
Psychotria_hebeclada,C,0.967302201,1.492648646,1.040997683,1.409738736,1.405943683,2.545307116,1.662757832,1.76177709,2.653212514,2.8162413,201.5
Psychotria_hemicephaelis,E2,0.952110031,1.44970977,1.039533053,1.346884115,1.343661293,2.526339277,1.72427587,1.705831647,2.618048097,2.481442629,832
Psychotria_limitanea,E,0.961780875,1.496915819,1.032578445,1.41898867,1.420054812,2.519827994,2.214843848,1.329058926,2.818885415,2.804820679,107
Psychotria_lindenii,E,0.973939478,1.460627263,1.015150084,1.36471981,1.377178716,2.532754379,2.012837225,1.516246734,2.726727209,2.880813592,871
Psychotria_luxurians,C,0.934010047,1.462996626,1.034427859,1.378322192,1.376105293,2.606381365,1.986771734,1.582676742,2.743509765,2.965671971,506
Psychotria_muscosa,E2,0.929555144,1.486505492,1.027920118,1.40237891,1.40578449,2.526339277,1.806179974,1.663564724,2.567026366,2.660865478,284
Psychotria_oblonga,E2,0.932118446,1.496500667,1.047664189,1.404177807,1.414976152,2.604226053,1.832508913,1.700819215,2.489958479,2.922725458,140
Psychotria_oinochrophylla,E,1.022302814,1.461881004,1.085754264,1.355104817,1.353755998,2.346352974,1.973127854,1.382716974,2.655138435,2.62324929,1059.5
Psychotria_paniculata,E,0.983678889,1.319460028,1.074889582,1.179479986,1.172286621,2.304273713,1.662757832,1.654744394,2.551449998,2.547774705,2393.5
Psychotria_patentinervia,F,0.967556042,1.459266796,1.229300382,1.382215224,1.262401639,2.482873584,1.903089987,1.629838831,2.937016107,2.421603927,321
Psychotria_phyllocalymma,F,0.860649563,1.460672375,1.059320464,1.360189339,1.346052303,2.187484093,1.875061263,1.316589263,2.555094449,2.578062473,321
Psychotria_prancei,E,0.906855606,1.50374983,0.997823031,1.415996621,1.426478728,2.484299839,1.851258349,1.662236378,2.59439255,2.931966115,86
Psychotria_rhombibractea,E,0.906855606,1.50374983,0.997823031,1.415996621,1.426478728,2.484299839,1.851258349,1.662236378,2.59439255,2.931966115,86
Psychotria_rhytidocarpa,F,1.05903457,1.461273356,1.259068034,1.349024842,1.242528916,2.380211242,1.322219295,1.865600722,2.703291378,1.875061263,607
Psychotria_ruelliifolia,F,1.022809683,1.426283495,1.235932244,1.325423303,1.205695957,2.392696953,1.505149978,1.806861379,2.761175813,2.049218023,787
Psychotria_spathicalyx,F,1.03097396,1.443245843,1.212200853,1.346431191,1.279940574,2.29666519,1.537773481,1.724947012,2.667452953,2.123851641,635.5
Psychotria_stachyoides,F,1.022008869,1.422983567,1.239924813,1.316096195,1.197289762,2.361727836,1.556302501,1.782234787,2.745074792,2.161368002,874
Psychotria_suterella,F,0.991528792,1.426364845,1.253725615,1.327134071,1.180374401,2.33243846,1.892094603,1.585233293,2.748962861,2.42975228,689
Psychotria_ulviformis,E,0.961824382,1.500222748,1.054728021,1.405710534,1.414921828,2.551449998,1.857332496,1.686481102,2.49761571,2.933486108,207
Psychotria_urceolata,E2,0.944457972,1.495322283,1.048674847,1.403535173,1.413232685,2.572871602,1.897627091,1.68287622,2.498310554,2.915399835,166
Psychotria_variegata,E,0.958300999,1.502679696,1.064981834,1.406723236,1.416472677,2.572290217,1.851258349,1.695207218,2.489958479,2.922725458,168.5
Psychotria_venulosa,E,1.016573784,1.495225096,1.086431009,1.400932119,1.399067718,2.539076099,1.963787827,1.624838745,2.729974286,2.935507266,361
