,Palicourea_suerrensis,Palicourea_justiciifolia,Palicourea_ostreophora,Palicourea_quadrifolia,Palicourea_corymbifera,Palicourea_winkleri,Palicourea_dichotoma,Palicourea_gracilenta,Palicourea_obliquinervia,Palicourea_prunifolia,Palicourea_callithrix,Palicourea_glabra,Palicourea_acuminata,Palicourea_andina,Palicourea_didymocarpos,Palicourea_rhodothamna,Palicourea_triphylla,Palicourea_croceoides,Palicourea_crocea,Palicourea_lasiantha,Palicourea_nitidella,Palicourea_macrobotrys,Palicourea_guianensis,Palicourea_marcgravii,Palicourea_grandiflora,Palicourea_rigida,Palicourea_egensis,Palicourea_polycephala,Palicourea_deflexa,Palicourea_woronovii,Palicourea_bangii,Palicourea_flavifolia,Palicourea_reticulata,Palicourea_stipularis,Palicourea_flavescens,Palicourea_stenosepala,Palicourea_lineata,Palicourea_padifolia,Palicourea_lehmannii,Palicourea_thyrsiflora,Palicourea_demissa,Palicourea_amethystina,Palicourea_standleyana,Palicourea_seemannii,Palicourea_pyramidalis,Palicourea_luteonivea,Palicourea_sulphurea,Palicourea_apicata,Palicourea_loxensis,Palicourea_angustifolia,Palicourea_tetragona,Palicourea_domingensis,Palicourea_pubescens,Palicourea_correae,Palicourea_elata,Palicourea_berteroana,Palicourea_petiolaris,Palicourea_timbiquensis,Palicourea_acanthacea,Palicourea_brachiata,Palicourea_glomerulata,Palicourea_conephoroides,Palicourea_tinctoria,Palicourea_jelskii,Palicourea_allenii,Palicourea_cyanococca,Palicourea_hazenii,Palicourea_tomentosa,Psychotria_rosea,Psychotria_suterella,Palicourea_brachypoda,Palicourea_sessilis,Palicourea_divaricata,Palicourea_racemosa,Palicourea_subfusca,Palicourea_topoensis,Palicourea_brevicollis
Palicourea_flavescens,15.2775,10.3308,24.0971,8.8074,0.5047,12.3827,4.5142,11.169,11.4501,2.0565,0.291,15.7355,7.7448,31.6101,0.9518,14.309,10.1906,3.9509,3.6059,9.2329,6.7411,4.4664,14.9375,7.5979,8.9409,5.6544,0.1982,24.0511,4.0047,13.6852,8.3716,6.9097,8.5472,13.4658,100,50.8026,79.2211,18.9406,1.35,52.3294,35.2977,15.0956,8.9146,25.4617,31.7862,25.1541,82.6941,25.1908,8.8809,49.9884,0.577,7.2012,2.7582,39.9558,16.2547,18.0902,26.4395,0.2375,17.1573,16.7671,0.4377,13.7904,26.1342,8.995,25.7822,22.1769,37.8733,3.6811,1.1094,1.1775,1.2086,3.2719,18.5563,2.8006,4.6919,1.48,1.788
Palicourea_stenosepala,78.506,6.4442,29.3662,3.2044,2.5387,71.6165,14.4607,24.9287,5.909,2.3887,2.0402,8.8086,37.2869,78.5495,4.2549,4.6763,53.4531,25.3896,17.9729,21.1288,1.3303,20.1032,24.3282,7.864,12.2704,14.1428,1.1755,0.7455,17.9529,81.0905,34.6988,44.5457,81.5157,36.6851,36.6828,100,41.4742,66.4269,77.1979,94.2138,71.3542,32.1062,86.2439,61.8217,84.1581,84.3624,97.4665,50.6186,94.4059,70.6233,4.5788,35.9195,37.5944,92.5848,81.3484,74.839,48.2858,0.4473,43.9695,73.3735,57.1095,58.6514,72.03,21.7048,70.9146,76.5075,83.3411,21.112,4.552,15.3781,56.7312,27.6152,8.5564,48.8613,40.1348,8.6358,12.6559
Palicourea_lineata,51.1594,4.8274,63.6126,79.7066,0.9722,61.921,4.4892,6.4455,81.6578,86.8253,0.52,1.0185,7.9459,26.4878,3.3335,69.7859,70.9384,12.8418,10.6186,5.3607,58.161,83.0853,5.6528,85.8958,3.8573,94.0213,0.2931,86.4054,8.2318,77.7198,38.1179,38.2285,91.0335,74.1116,12.7595,91.0839,100,31.2286,88.1568,73.7698,82.9262,79.5216,1.514,17.5758,6.2115,20.2268,67.8388,83.6852,6.7528,80.5793,1.5583,74.5612,5.9484,74.7656,57.4678,73.2683,27.4064,0.0818,37.9929,63.9746,40.6169,91.4078,27.1592,86.4136,66.8007,55.8668,81.4408,3.8853,1.5312,13.3122,84.4,21.0525,33.4071,5.5135,18.8875,1.1223,55.4036
Palicourea_padifolia,27.9987,8.6382,22.629,21.1354,1.3096,51.1022,17.3989,31.0545,7.7299,41.1381,0.9668,4.7707,35.2637,54.9821,4.2041,22.426,34.5385,35.658,32.4418,17.0287,1.2618,41.3514,25.3598,25.2413,13.9917,53.4363,0.2717,10.1026,28.861,29.4613,50.6409,43.2372,38.7236,33.0478,14.4085,73.4217,75.6011,100,73.4409,91.5709,51.7457,19.1494,6.0301,35.1287,12.8379,78.7013,79.7798,29.5696,73.8333,52.9037,5.9428,49.8067,27.7238,72.9733,79.867,64.1771,31.7806,0.0593,24.72,35.0119,9.9038,65.8499,60.3771,26.7509,51.3721,45.6435,80.1728,19.524,2.1917,45.505,98.6745,50.8355,10.3684,17.7049,53.2204,5.9518,63.8576
Palicourea_lehmannii,14.0776,50.1941,8.6242,6.3703,18.5883,4.6083,89.2565,50.6741,5.2309,0.3888,11.3355,37.7818,81.6024,97.2751,28.4711,7.6073,4.7123,74.2439,76.9835,58.0068,3.0596,1.2229,83.2973,1.3336,49.1222,0.9884,10.8365,13.5744,82.0483,12.5067,75.1305,82.2945,0.7646,0.8099,67.1011,1.906,0.4163,1.1628,100,97.4411,2.3733,0.3477,69.9595,84.6871,80.8658,93.6255,98.7218,0.7363,19.0546,2.936,23.6865,2.0125,60.6918,19.4226,3.33,4.7627,80.1727,22.9705,12.6964,9.8316,11.58,2.9979,95.2436,0.9106,5.553,14.2353,3.4288,71.1002,34.4844,2.7401,0.0028,49.4815,7.4782,68.9955,67.8055,20.224,0.2918
Palicourea_thyrsiflora,1.0491,10.473,12.5785,2.1006,1.9107,83.8946,12.3552,15.2144,6.7698,7.5075,1.0016,3.1871,22.0729,47.2453,6.0335,2.534,86.2821,26.6432,22.4656,12.5931,1.2543,31.7445,15.5911,20.76,8.9617,27.947,0.5976,0.865,18.3617,94.7377,47.1183,51.9459,76.3849,88.3586,14.2031,45.6233,79.5947,49.451,1.3762,100,88.6786,61.9478,87.3078,71.5399,94.6733,94.0489,83.0755,68.9189,96.5034,85.2485,81.0157,88.6232,89.3829,96.8005,88.4223,91.3017,90.8835,0.4775,63.5034,84.2652,68.7435,97.2525,45.8984,81.8996,85.1751,80.8696,93.4957,11.2239,3.7172,19.2432,96.8193,91.5058,89.1989,85.3277,74.9507,2.0559,69.8169
Palicourea_demissa,86.6547,73.9135,85.4676,85.3759,2.547,75.0574,74.4009,73.0899,78.9014,36.1624,1.7074,88.3493,31.3139,64.1323,61.815,82.9405,70.7246,20.579,16.5599,70.6344,59.7054,33.3673,76.2391,41.9358,67.3621,38.4799,87.9853,96.1768,15.3916,98.3001,23.1157,28.6965,34.9337,44.4471,74.5375,91.2871,42.5839,55.005,96.5558,55.3896,100,43.9156,10.9339,64.5331,33.3818,44.6744,95.7968,72.8914,9.2743,94.115,3.5208,4.2612,9.6155,97.7655,22.8802,80.9754,63.4778,0.9838,70.9021,86.3077,2.1496,64.1298,52.5669,21.7127,85.2176,84.8565,76.6486,16.1798,5.0424,4.4733,11.6841,10.439,3.7939,11.9901,27.5303,3.7558,9.9033
Palicourea_amethystina,42.9671,73.3095,64.1431,64.6251,61.8316,59.2286,70.9706,62.3043,70.7526,78.9406,69.9426,49.2804,4.6309,87.7382,79.9378,61.562,63.0794,74.8133,71.3321,64.3352,41.1926,81.3569,56.1569,94.4669,62.2783,95.0866,47.5615,82.7062,77.1156,67.8456,94.004,95.0765,93.0755,89.7398,96.3278,93.6274,95.064,79.3327,94.4729,90.4172,94.2803,100,1.3374,16.2239,6.4121,13.8525,63.5315,73.1473,4.5255,30.2588,0.5376,1.2675,2.4464,0.3359,2.8617,8.5826,26.486,0.0573,46.1386,0.9498,0.1651,20.5809,18.5406,26.6096,70.8765,0.6839,24.4555,1.7499,0.5721,5.3999,0.4079,10.7458,0.8494,2.5773,9.7507,0.4792,3.6753
Palicourea_standleyana,59.6059,14.4209,77.2936,9.1441,9.6913,16.9527,34.2707,51.1513,13.3441,4.3462,6.8776,37.2411,67.743,90.1079,11.4797,18.2717,14.1766,37.9696,29.1736,47.7525,5.669,25.4216,53.2981,5.5519,32.1874,11.3799,6.3913,6.5132,30.5222,42.231,19.3433,30.5715,51.4388,1.6872,54.842,12.3361,63.5523,81.6597,15.9403,4.278,93.2827,77.9177,100,14.0433,45.4739,19.146,94.4381,4.1472,13.5117,16.2631,14.0749,6.7979,5.7474,64.5331,19.3125,17.7594,5.9967,5.4577,20.7886,35.3208,31.8332,6.2205,72.4534,0.7547,18.3976,54.0862,17.9131,51.6769,16.6728,0.9963,0.007,0.5924,5.3547,13.5556,60.7647,46.6238,0.3915
Palicourea_seemannii,93.5006,22.6634,46.9547,13.8734,12.2694,71.0116,36.9662,50.418,19.7072,2.8961,7.7729,25.3207,69.5255,75.277,17.1012,12.3356,61.5216,48.5812,43.0517,50.3524,7.8258,32.4216,56.7679,4.5111,33.4009,9.56,7.6233,4.5601,40.5942,96.8547,17.3856,24.0537,44.5195,18.7326,16.0172,64.1839,50.4274,40.1775,4.2897,33.7782,77.5027,55.9505,80.8142,100,92.3449,65.7782,80.8173,34.711,51.7248,63.0102,17.2391,29.3488,22.219,91.7733,59.2492,69.9806,49.7659,7.4562,92.8636,87.8626,94.5607,40.5894,55.7946,10.5195,85.4424,85.7329,74.7882,49.509,24.2615,3.1623,1.692,6.8347,33.76,54.3169,71.781,7.5504,3.0366
Palicourea_pyramidalis,63.3134,10.3082,55.8115,22.3943,5.8209,29.5161,36.2109,47.3365,9.5194,1.018,2.9502,24.6927,70.6714,92.8229,6.2477,35.544,21.9157,39.3122,31.1258,36.7917,2.6529,24.3382,53.9097,3.0601,30.4536,1.8835,3.8318,2.5922,28.1349,54.4895,26.7411,41.6012,6.3726,8.1369,62.552,32.5017,78.1255,66.7742,12.1141,13.5618,97.1911,87.2051,79.7296,40.7998,100,38.0758,96.9642,14.3532,55.4061,41.498,10.061,5.6533,6.3484,84.1516,31.5873,30.5884,20.1875,6.5449,70.4745,49.2928,56.4804,12.0526,82.0043,2.8929,46.0517,60.7014,36.4788,46.2394,15.3446,1.3083,0.0031,7.8033,16.8775,25.4711,53.9652,14.0652,0.6191
Palicourea_luteonivea,87.225,33.5904,83.0015,90.744,15.5455,78.9196,53.3095,53.2622,83.5439,61.5159,10.5124,27.6472,71.105,88.3079,23.3682,81.9709,80.5943,61.5168,54.6835,49.5237,72.3937,41.8772,63.7112,56.5187,42.1721,52.4708,7.9508,92.9457,57.5485,95.6001,59.6943,68.3361,24.7211,24.3775,36.9025,65.3312,85.6026,48.3112,5.6501,32.4449,89.9381,85.8237,71.2487,45.5819,71.5164,100,96.3607,23.7402,94.8726,43.9589,22.7418,70.3219,48.889,96.8282,80.8109,78.8463,50.7511,1.8922,40.7887,89.4795,70.4617,59.2087,88.4476,20.0338,71.9078,90.0139,63.8703,57.1838,22.9017,20.9617,44.4469,37.203,47.2469,49.9745,69.6308,17.0422,15.5649
Palicourea_sulphurea,1.8236,11.0517,15.0815,3.6677,3.2146,92.3396,12.9718,16.5687,7.515,6.0788,1.9836,5.0666,23.8971,53.9559,7.0721,3.2907,92.9585,23.8417,19.2505,14.7949,2.3247,24.1495,16.8771,16.5163,10.6037,21.4912,1.418,1.373,18.0218,98.8843,32.1579,39.2401,68.1167,88.0279,23.059,60.5353,81.9215,46.0529,1.5007,77.6766,76.1064,92.4437,5.919,44.2891,18.437,38.4531,100,82.6484,97.9275,96.0874,4.7726,84.6064,85.4035,98.6399,88.6041,94.9327,91.9713,0.5291,68.1182,96.0252,85.1245,94.3912,48.967,61.7139,90.927,93.6497,95.6794,13.2244,5.2931,10.4983,81.9012,62.5049,74.3184,91.2088,75.1751,2.5774,41.8482
Palicourea_apicata,82.4592,83.3109,85.3519,92.0969,88.0886,77.5521,74.0439,78.2903,86.8422,65.1716,95.6083,85.4969,12.1835,34.9438,81.6332,89.66,78.5153,78.009,65.3027,83.6141,62.6227,56.1386,77.229,67.4201,75.6314,71.2716,89.7695,97.4218,77.4428,97.9985,48.5247,49.5698,59.141,64.3815,93.0276,95.8803,72.3863,65.9852,96.8759,75.3391,96.7609,94.9014,90.156,76.7962,96.301,91.3096,89.1846,100,6.9972,96.5441,1.4133,1.9803,4.0088,1.7004,8.9355,17.9679,38.6062,0.2827,69.8385,3.4648,0.7372,20.0774,27.9435,16.7178,86.5769,2.6792,45.8735,5.6538,1.8398,3.9033,0.2408,7.4221,1.2804,4.7714,14.7697,1.4366,2.2938
Palicourea_loxensis,11.1631,5.2256,14.086,5.5998,1.6678,10.3806,18.8393,17.3085,6.893,2.3219,1.2343,7.3756,34.6353,87.0084,2.6919,8.1164,7.2145,21.5131,16.2626,14.7819,3.0301,3.0918,26.4926,4.8956,10.8621,4.8436,0.6209,1.8868,17.6819,9.5946,51.8365,62.346,7.2292,6.6178,57.6518,20.6805,93.8315,12.9334,3.0679,6.6793,97.3498,96.6429,9.0286,2.6754,10.4957,37.5816,8.1401,97.8309,100,7.6462,3.1561,5.3445,16.2403,23.5495,20.2288,12.8868,22.3952,0.0312,1.4991,10.3263,3.3775,12.3828,86.8454,5.541,6.0669,17.3502,13.2723,23.1042,2.4761,15.296,0.7681,24.5572,1.0311,12.7635,31.7022,22.4437,1.7132
