"","spp1","spp2","overlap_mean_sp1to2","overlap_mean_sp2to1"
"1553","Palicourea_timbiquensis","Palicourea_marcgravii",6.1082,0.5293
"1554","Palicourea_acanthacea","Palicourea_marcgravii",2.3253,7.0943
"1555","Palicourea_brachiata","Palicourea_marcgravii",10.6106,25.8922
"1556","Palicourea_glomerulata","Palicourea_marcgravii",3.4992,17.7916
"1557","Palicourea_conephoroides","Palicourea_marcgravii",79.4221,57.259
"1558","Palicourea_tinctoria","Palicourea_marcgravii",47.7039,79.1842
"1559","Palicourea_jelskii","Palicourea_marcgravii",52.0883,24.9075
"1560","Palicourea_allenii","Palicourea_marcgravii",37.0312,20.6274
"1561","Palicourea_cyanococca","Palicourea_marcgravii",4.0039,15.0213
"1562","Palicourea_hazenii","Palicourea_marcgravii",42.1375,11.4541
"1563","Palicourea_tomentosa","Palicourea_marcgravii",26.892,24.4178
"1564","Psychotria_rosea","Palicourea_marcgravii",47.614,18.5528
"1565","Psychotria_suterella","Palicourea_marcgravii",45.9112,30.6819
"1566","Palicourea_brachypoda","Palicourea_marcgravii",8.2371,75.6686
"1567","Palicourea_sessilis","Palicourea_marcgravii",48.6242,71.8502
"1568","Palicourea_divaricata","Palicourea_marcgravii",22.0516,76.679
"1569","Palicourea_racemosa","Palicourea_marcgravii",55.311,64.601
"1570","Palicourea_subfusca","Palicourea_marcgravii",27.476,60.1598
"1571","Palicourea_topoensis","Palicourea_marcgravii",4.8644,0.5234
"1572","Palicourea_brevicollis","Palicourea_marcgravii",50.9676,48.3566
"1574","Palicourea_rigida","Palicourea_grandiflora",40.6717,66.2573
"1575","Palicourea_egensis","Palicourea_grandiflora",39.0887,99.3333
"1576","Palicourea_polycephala","Palicourea_grandiflora",90.0353,24.7932
"1577","Palicourea_deflexa","Palicourea_grandiflora",91.5588,66.097
"1578","Palicourea_woronovii","Palicourea_grandiflora",99.3527,38.7797
"1579","Palicourea_bangii","Palicourea_grandiflora",34.3442,6.8193
"1580","Palicourea_flavifolia","Palicourea_grandiflora",47.982,9.6535
"1581","Palicourea_reticulata","Palicourea_grandiflora",5.2866,63.1179
"1582","Palicourea_stipularis","Palicourea_grandiflora",4.0932,73.6721
"1583","Palicourea_flavescens","Palicourea_grandiflora",8.9409,2.024
"1584","Palicourea_stenosepala","Palicourea_grandiflora",12.2704,49.4027
"1585","Palicourea_lineata","Palicourea_grandiflora",3.8573,71.3497
"1586","Palicourea_padifolia","Palicourea_grandiflora",13.9917,32.9921
"1587","Palicourea_lehmannii","Palicourea_grandiflora",49.1222,4.0472
"1588","Palicourea_thyrsiflora","Palicourea_grandiflora",8.9617,85.4951
"1589","Palicourea_demissa","Palicourea_grandiflora",67.3621,9.9536
"1590","Palicourea_amethystina","Palicourea_grandiflora",62.2783,1.5732
"1591","Palicourea_standleyana","Palicourea_grandiflora",32.1874,13.112
"1592","Palicourea_seemannii","Palicourea_grandiflora",33.4009,57.041
"1593","Palicourea_pyramidalis","Palicourea_grandiflora",30.4536,20.7103
"1594","Palicourea_luteonivea","Palicourea_grandiflora",42.1721,80.0429
"1595","Palicourea_sulphurea","Palicourea_grandiflora",10.6037,90.9431
"1596","Palicourea_apicata","Palicourea_grandiflora",75.6314,3.8493
"1597","Palicourea_loxensis","Palicourea_grandiflora",10.8621,7.7098
"1598","Palicourea_angustifolia","Palicourea_grandiflora",53.7213,8.9426
"1599","Palicourea_tetragona","Palicourea_grandiflora",93.6002,74.9734
"1600","Palicourea_domingensis","Palicourea_grandiflora",65.4231,80.6316
"1601","Palicourea_pubescens","Palicourea_grandiflora",74.3528,78.0776
"1602","Palicourea_correae","Palicourea_grandiflora",19.438,83.0354
"1603","Palicourea_elata","Palicourea_grandiflora",71.7768,48.4666
"1604","Palicourea_berteroana","Palicourea_grandiflora",92.0975,55.6437
"1605","Palicourea_petiolaris","Palicourea_grandiflora",15.6989,42.2585
"1606","Palicourea_timbiquensis","Palicourea_grandiflora",51.6533,7.9742
"1607","Palicourea_acanthacea","Palicourea_grandiflora",18.3334,54.7886
"1608","Palicourea_brachiata","Palicourea_grandiflora",72.3729,93.5396
"1609","Palicourea_glomerulata","Palicourea_grandiflora",39.7521,87.093
"1610","Palicourea_conephoroides","Palicourea_grandiflora",77.7322,29.8353
"1611","Palicourea_tinctoria","Palicourea_grandiflora",38.267,80.1399
"1612","Palicourea_jelskii","Palicourea_grandiflora",2.9884,15.5991
"1613","Palicourea_allenii","Palicourea_grandiflora",74.5556,53.8268
"1614","Palicourea_cyanococca","Palicourea_grandiflora",46.8452,86.8528
"1615","Palicourea_hazenii","Palicourea_grandiflora",18.3483,64.3542
"1616","Palicourea_tomentosa","Palicourea_grandiflora",82.6568,89.0542
"1617","Psychotria_rosea","Palicourea_grandiflora",92.5424,80.0761
"1618","Psychotria_suterella","Palicourea_grandiflora",7.2827,8.1558
"1619","Palicourea_brachypoda","Palicourea_grandiflora",8.1182,49.867
"1620","Palicourea_sessilis","Palicourea_grandiflora",9.7757,14.6353
"1621","Palicourea_divaricata","Palicourea_grandiflora",20.6514,35.8443
"1622","Palicourea_racemosa","Palicourea_grandiflora",79.9468,93.9799
"1623","Palicourea_subfusca","Palicourea_grandiflora",39.2405,97.1477
"1624","Palicourea_topoensis","Palicourea_grandiflora",44.9427,7.3613
"1625","Palicourea_brevicollis","Palicourea_grandiflora",15.7312,16.0257
