"species","ID","wc2.1_5m_bio_2","wc2.1_5m_bio_5","wc2.1_5m_bio_7","wc2.1_5m_bio_8","wc2.1_5m_bio_9","wc2.1_5m_bio_13","wc2.1_5m_bio_14","wc2.1_5m_bio_15","wc2.1_5m_bio_18","wc2.1_5m_bio_19","elev","pollinator"
"Palicourea_diminuta",0.409774522492107,0.050106203480248,0.0213078414535026,0.0588596055515941,0.0209443486088544,0.0256440910378172,0.090063856458568,0.295334933202656,0.0980116904797135,0.141596103318159,0.292719145704094,229.890030348512,NA
"Palicourea_divaricata",0.423458074997967,0.0767224034893897,0.0244730024453817,0.0603549988016037,0.0329301692766325,0.0374299123932607,0.162574438985401,0.425669826755435,0.303323904201998,0.182910752192149,0.250806891954266,250.621685163018,NA
"Palicourea_domingensis",0.424023062873382,0.0639726315274126,0.0288639947520814,0.075002837967656,0.0280825195578054,0.043122668656847,0.172416019217065,0.34808039781487,0.126546037638673,0.140364477934263,0.239912655426112,270.304371293342,NA
"Palicourea_egensis",0.412578487647678,0.0435682230502161,0.0174465764399903,0.0487091033107647,0.0139326575934296,0.0167444477763753,0.0561552831755444,0.344957740956451,0.169296398241623,0.172288328824931,0.228651507073589,163.689597713806,NA
"Palicourea_elata",0.42415034301636,0.0461778065698431,0.0386622537130866,0.0633213068343652,0.0514298445465943,0.0535417308116723,0.0813063001680821,0.22257973117613,0.107384407821398,0.103920647835901,0.226635130377487,455.731883661782,NA
"Palicourea_ernestii",0.40382756032225,0.0403407887988752,0.034711087148563,0.0381275685231634,0.0387252487777712,0.0444711193625557,0.0437897196400841,0.255478263246846,0.11959401253666,0.102383444472046,0.321934049614278,436.674052960275,NA
"Palicourea_eurycarpa",0.419885068438597,0.0353709607707143,0.0303196317268337,0.0291013821210582,0.0400352108297934,0.0390728653558664,0.0459905961390237,0.247837246653202,0.107784672012669,0.127053810855624,0.122502246569145,373.052232609058,NA
"Palicourea_fanshawei",0.394419072788797,0.0148339181960221,0.0244678221653912,0.0132675633817895,0.0296535837132602,0.0353196389179175,0.0219706730049722,0.179690997714188,0.0735045394094366,0.0576154813726321,0.177354381594261,310.462401179423,NA
"Palicourea_flavescens",0.40711646756601,0.0248274500194979,0.0814668559094819,0.0313889505538383,0.110630831248996,0.112810427802949,0.116278100865965,0.219700164109976,0.15789978730617,0.146401161385215,0.263827230493347,625.715279920794,NA
"Palicourea_flaviflora",0.416315282593578,0.0430393195872515,0.0340842998262301,0.0554836040124938,0.0506930812183,0.0625783528232345,0.154600829377056,NA,0.204794667696739,0.158134791515167,0.33326004934334,491.572284895891,NA
"Palicourea_flavifolia",0.418106491619547,0.0364046174906217,0.0434402104782668,0.0491568726044183,0.0640666762809086,0.0660939472112666,0.13755090463382,0.316279559512331,0.0610518040065784,0.144588005136201,0.246581185059062,635.474261723819,NA
"Palicourea_frontinoensis",0.372790048328773,0.0181838234279145,0.0468059356758257,0.0222284777285382,0.062776544069024,0.0599323882730089,0.0463771655873539,0.108295354918803,0.0794910163055029,0.0797527347788616,0.118290584186742,615.100958700228,NA
"Palicourea_fuchsioides",0.362319376987068,0.0331198257108794,0.0679679448542992,0.0386420911318398,0.0931907323607911,0.0947226650339797,0.0682096050927326,0.262475046601134,0.0996521167911216,0.071141048234178,0.324289305928561,656.478605896643,NA
"Palicourea_fulgens",0.415288952964158,0.0378207370800422,0.0261510905552133,0.0362269389184756,0.0312043724078882,0.0480101519684396,0.0683483579878266,0.254851389133459,0.137523465650979,0.0482558543200557,0.150467858507739,284.689587767712,NA
"Palicourea_garciae",0.426229946516466,0.0397194197731209,0.0705748068912398,0.0524086559258326,0.0840087990757603,0.0900419668993065,0.142624222716397,0.262698158772544,0.11072399177448,0.133169736647966,0.199064257902382,588.111797223554,NA
"Palicourea_gardenioides",0.414111589411665,0.0516453592005341,0.0169220501700197,0.0456444800394569,0.0192114844842718,0.031168346837991,0.0912970399860254,0.183938083966527,0.0718025813907464,0.125354444084969,0.238402093220455,253.896433118047,NA
"Palicourea_gemmiflora",0.390308179574176,0.0210470877774809,0.0440996306744972,0.0296471422901982,0.0632076909526695,0.0678475301326172,0.0626707189420707,0.186542026615367,0.144598782571717,0.0577563799158497,0.195024349679316,538.623710780432,NA
"Palicourea_glabra",0.417721042859083,0.0441295522204012,0.0278203108618388,0.0402689849694074,0.0353874193255306,0.0354820130421632,0.0902474736030099,0.244365877802495,0.153189559707674,0.153254050776596,0.142169274574931,246.914186178653,NA
"Palicourea_glomerulata",0.423433616846734,0.0586865482195518,0.0226255251650488,0.076967449456471,0.0248183423247764,0.0252483074578121,0.100328689368331,0.291454434093055,0.122243919784428,0.143769943104558,0.239230026670452,251.796714227408,NA
"Palicourea_gracilenta",0.423586313186936,0.0614502366151318,0.0418482951758494,0.0738770807894088,0.0447083811632529,0.0674603121920251,0.106646752682048,0.313875507061872,0.138894262799377,0.201843609388431,0.310177907424115,527.311675297848,NA
"Palicourea_graciliflora",0.413378466271256,0.0314088034847259,0.074435287736817,0.0409928381191662,0.103989170586572,0.11695601921641,0.18012312201878,0.330517971773263,0.136626379920437,0.156687458191908,0.22148631948442,632.500890196082,NA
"Palicourea_grandiceps",0.411421342302487,0.00989014861282043,0.041807253337212,0.0139492251693875,0.0543967037828509,0.0542034438129951,0.0973881229001899,0.14668408264995,0.0883172439712633,0.114587749530395,0.10132152601432,493.506277688554,NA
"Palicourea_grandiflora",0.425050960323204,0.0493797246813944,0.0380092125351109,0.0785731405803615,0.0413234939116611,0.054074699584724,0.0950699305535973,0.442112074346915,0.17904814557362,0.170129688767846,0.389336360828271,509.061690295894,NA
