"species","ID","wc2.1_5m_bio_2","wc2.1_5m_bio_5","wc2.1_5m_bio_7","wc2.1_5m_bio_8","wc2.1_5m_bio_9","wc2.1_5m_bio_13","wc2.1_5m_bio_14","wc2.1_5m_bio_15","wc2.1_5m_bio_18","wc2.1_5m_bio_19","elev"
"Palicourea_acanthacea",1.55630250076729,0.911526022883747,1.40014065373552,0.966704825310748,1.31770128232386,1.3051327199714,2.57634135020579,1.79934054945358,1.7920075388865,3.00603795499732,2.47712125471966,1083
"Palicourea_acanthacea",1.568201724067,0.932621722052125,1.47171698972763,0.983941819788281,1.39539046304193,1.38668620394439,2.48572142648158,2.11058971029925,1.44864087819473,2.92064500140679,2.68124123737559,229
"Palicourea_acanthacea",1.57978359661681,0.932621722052125,1.47171698972763,0.983941819788281,1.39539046304193,1.38668620394439,2.48572142648158,2.11058971029925,1.44864087819473,2.92064500140679,2.68124123737559,229
"Palicourea_acanthacea",1.5910646070265,0.932621722052125,1.47171698972763,0.983941819788281,1.39539046304193,1.38668620394439,2.48572142648158,2.11058971029925,1.44864087819473,2.92064500140679,2.68124123737559,229
"Palicourea_acanthacea",1.60205999132796,0.932621722052125,1.47171698972763,0.983941819788281,1.39539046304193,1.38668620394439,2.48572142648158,2.11058971029925,1.44864087819473,2.92064500140679,2.68124123737559,229
"Palicourea_acanthacea",1.61278385671974,0.932621722052125,1.47171698972763,0.983941819788281,1.39539046304193,1.38668620394439,2.48572142648158,2.11058971029925,1.44864087819473,2.92064500140679,2.68124123737559,229
"Palicourea_acanthacea",1.6232492903979,0.968342827751391,1.32461163732365,1.01749241719736,1.20562837588499,1.20167473112765,2.34830486304816,1.49136169383427,1.72484181144076,2.7701152947871,2.48855071650044,2136
"Palicourea_acanthacea",1.63346845557959,0.871572938886004,1.4791864684898,0.909127915848006,1.40991341006431,1.41772075427188,2.87215627274829,2.45939248775923,1.43076881557861,3.13703745478951,3.31952244906545,50
"Palicourea_acanthacea",1.64345267648619,0.89225698753113,1.45347123139037,0.986054781454,1.37715442087388,1.35929779943555,2.51587384371168,1.53147891704226,1.89803180900471,2.88817949391832,2.07188200730613,422
"Palicourea_acanthacea",1.65321251377534,0.89225698753113,1.45347123139037,0.986054781454,1.37715442087388,1.35929779943555,2.51587384371168,1.53147891704226,1.89803180900471,2.88817949391832,2.07188200730613,422
"Palicourea_acanthacea",1.66275783168157,0.89225698753113,1.45347123139037,0.986054781454,1.37715442087388,1.35929779943555,2.51587384371168,1.53147891704226,1.89803180900471,2.88817949391832,2.07188200730613,422
"Palicourea_acanthacea",1.67209785793572,0.94511557921107,1.47199541248008,0.997692139926712,1.39358397198746,1.38490271697274,2.56110138364906,2.19312459835446,1.43916635922509,2.9795483747041,2.75966784468963,223
"Palicourea_acanthacea",1.68124123737559,0.89225698753113,1.45347123139037,0.986054781454,1.37715442087388,1.35929779943555,2.51587384371168,1.53147891704226,1.89803180900471,2.88817949391832,2.07188200730613,422
"Palicourea_acanthacea",1.69019608002851,0.89225698753113,1.45347123139037,0.986054781454,1.37715442087388,1.35929779943555,2.51587384371168,1.53147891704226,1.89803180900471,2.88817949391832,2.07188200730613,422
"Palicourea_acanthacea",1.69897000433602,0.913031963473628,1.48291643775855,0.9656249821718,1.41151308603109,1.40321777113402,2.50785587169583,2.04139268515822,1.52635533132414,2.95133751879592,2.70842090013471,72
"Palicourea_acanthacea",1.70757017609794,0.913031963473628,1.48291643775855,0.9656249821718,1.41151308603109,1.40321777113402,2.50785587169583,2.04139268515822,1.52635533132414,2.95133751879592,2.70842090013471,72
"Palicourea_acanthacea",1.7160033436348,0.909016392736812,1.48069665274311,0.962085059546448,1.41000352423553,1.40053221889266,2.54406804435028,2.03342375548695,1.57088702345664,2.98272338766855,2.63948648926859,99
"Palicourea_acanthacea",1.72427586960079,0.94511557921107,1.47199541248008,0.997692139926712,1.39358397198746,1.38490271697274,2.56110138364906,2.19312459835446,1.43916635922509,2.9795483747041,2.75966784468963,223
"Palicourea_acanthacea",1.73239375982297,0.94511557921107,1.47199541248008,0.997692139926712,1.39358397198746,1.38490271697274,2.56110138364906,2.19312459835446,1.43916635922509,2.9795483747041,2.75966784468963,223
"Palicourea_acanthacea",1.74036268949424,0.932621722052125,1.47171698972763,0.983941819788281,1.39539046304193,1.38668620394439,2.48572142648158,2.11058971029925,1.44864087819473,2.92064500140679,2.68124123737559,229
"Palicourea_acanthacea",1.7481880270062,0.932621722052125,1.47171698972763,0.983941819788281,1.39539046304193,1.38668620394439,2.48572142648158,2.11058971029925,1.44864087819473,2.92064500140679,2.68124123737559,229
"Palicourea_acanthacea",1.75587485567249,0.932621722052125,1.47171698972763,0.983941819788281,1.39539046304193,1.38668620394439,2.48572142648158,2.11058971029925,1.44864087819473,2.92064500140679,2.68124123737559,229
