Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]
73	1	-47.4763	-50.21875	2.742452	0.0236154	0.0236154	0.0236154	0.0236154	0.0236154	0.0236154	0.0236154
74	0	-46.75336	-49.75469	3.001324	0.01696854	0.0169685	0.0169685	0.0169685	0.0169685	0.0169685	0.0169685
75	1	-48.2522	-50.85388	2.601679	0.02722991	0.0272299	0.0272299	0.0272299	0.0272299	0.0272299	0.0272299
76	0	-47.25521	-50.4422	3.186988	0.01220139	0.0122014	0.0122014	0.0122014	0.0122014	0.0122014	0.0122014
77	1	-46.90117	-49.79877	2.897603	0.0196317	0.0196317	0.0196317	0.0196317	0.0196317	0.0196317	0.0196317
78	0	-47.06758	-50.22121	3.15363	0.01305791	0.0130579	0.0130579	0.0130579	0.0130579	0.0130579	0.0130579
79	1	-46.88955	-49.99755	3.108007	0.01422932	0.0142293	0.0142293	0.0142293	0.0142293	0.0142293	0.0142293
80	0	-47.06758	-50.22121	3.15363	0.01305791	0.0130579	0.0130579	0.0130579	0.0130579	0.0130579	0.0130579
81	1	-48.71929	-52.04211	3.322827	0.008713566	0.00871357	0.00871357	0.00871357	0.00871357	0.00871357	0.00871357
82	0	-46.83463	-49.76256	2.927928	0.01885308	0.0188531	0.0188531	0.0188531	0.0188531	0.0188531	0.0188531
83	1	-47.49967	-50.72001	3.220343	0.01134498	0.011345	0.011345	0.011345	0.011345	0.011345	0.011345
84	0	-46.96741	-50.09806	3.130649	0.01364796	0.013648	0.013648	0.013648	0.013648	0.013648	0.013648
85	1	-46.75214	-49.76392	3.011775	0.01670019	0.0167002	0.0167002	0.0167002	0.0167002	0.0167002	0.0167002
86	0	-47.51557	-50.73783	3.222253	0.01129593	0.0112959	0.0112959	0.0112959	0.0112959	0.0112959	0.0112959
87	1	-46.75214	-49.76392	3.011775	0.01670019	0.0167002	0.0167002	0.0167002	0.0167002	0.0167002	0.0167002
88	0	-46.9223	-50.04054	3.118242	0.01396652	0.0139665	0.0139665	0.0139665	0.0139665	0.0139665	0.0139665
89	1	-46.83882	-49.76457	2.925745	0.01890914	0.0189091	0.0189091	0.0189091	0.0189091	0.0189091	0.0189091
90	0	-46.80728	-49.88107	3.073791	0.01510786	0.0151079	0.0151079	0.0151079	0.0151079	0.0151079	0.0151079
91	1	-47.06631	-49.90816	2.841846	0.02106333	0.0210633	0.0210633	0.0210633	0.0210633	0.0210633	0.0210633
92	0	-47.94262	-50.59637	2.653756	0.02589277	0.0258928	0.0258928	0.0258928	0.0258928	0.0258928	0.0258928
93	1	-46.98607	-49.85283	2.866762	0.02042358	0.0204236	0.0204236	0.0204236	0.0204236	0.0204236	0.0204236
94	0	-47.05093	-49.89732	2.846392	0.02094661	0.0209466	0.0209466	0.0209466	0.0209466	0.0209466	0.0209466
95	1	-46.87389	-49.97652	3.102628	0.01436743	0.0143674	0.0143674	0.0143674	0.0143674	0.0143674	0.0143674
96	0	-47.10232	-49.93387	2.831552	0.02132763	0.0213276	0.0213276	0.0213276	0.0213276	0.0213276	0.0213276
97	1	-46.87389	-49.97652	3.102628	0.01436743	0.0143674	0.0143674	0.0143674	0.0143674	0.0143674	0.0143674
98	0	-47.35476	-50.12358	2.768816	0.02293847	0.0229385	0.0229385	0.0229385	0.0229385	0.0229385	0.0229385
99	1	-47.20637	-50.38553	3.17916	0.01240241	0.0124024	0.0124024	0.0124024	0.0124024	0.0124024	0.0124024
100	0	-46.75282	-49.75662	3.003797	0.01690505	0.016905	0.016905	0.016905	0.016905	0.016905	0.016905
101	1	-46.75295	-49.77189	3.018942	0.01651617	0.0165162	0.0165162	0.0165162	0.0165162	0.0165162	0.0165162
102	0	-48.46102	-51.02958	2.568552	0.02808048	0.0280805	0.0280805	0.0280805	0.0280805	0.0280805	0.0280805
103	1	-46.75295	-49.77189	3.018942	0.01651617	0.0165162	0.0165162	0.0165162	0.0165162	0.0165162	0.0165162
104	0	-46.88097	-49.78698	2.90601	0.01941585	0.0194159	0.0194159	0.0194159	0.0194159	0.0194159	0.0194159
105	1	-46.83188	-49.76127	2.929386	0.01881565	0.0188157	0.0188157	0.0188157	0.0188157	0.0188157	0.0188157
106	0	-46.83849	-49.92733	3.088841	0.01472144	0.0147214	0.0147214	0.0147214	0.0147214	0.0147214	0.0147214
107	1	-46.83188	-49.76127	2.929386	0.01881565	0.0188157	0.0188157	0.0188157	0.0188157	0.0188157	0.0188157
108	0	-48.46534	-51.03323	2.567881	0.02809772	0.0280977	0.0280977	0.0280977	0.0280977	0.0280977	0.0280977
109	1	-48.50337	-51.06537	2.561996	0.02824883	0.0282488	0.0282488	0.0282488	0.0282488	0.0282488	0.0282488
110	0	-48.47765	-51.04362	2.565972	0.02814673	0.0281467	0.0281467	0.0281467	0.0281467	0.0281467	0.0281467
111	1	-47.37462	-50.139	2.764378	0.02305243	0.0230524	0.0230524	0.0230524	0.0230524	0.0230524	0.0230524
112	0	-46.83516	-49.76281	2.927649	0.01886023	0.0188602	0.0188602	0.0188602	0.0188602	0.0188602	0.0188602
113	1	-46.77718	-49.83103	3.053846	0.01561998	0.01562	0.01562	0.01562	0.01562	0.01562	0.01562
114	0	-47.17433	-49.98652	2.812197	0.02182461	0.0218246	0.0218246	0.0218246	0.0218246	0.0218246	0.0218246
115	1	-47.59709	-50.82874	3.231656	0.0110545	0.0110545	0.0110545	0.0110545	0.0110545	0.0110545	0.0110545
116	0	-47.67347	-50.37645	2.702987	0.0246287	0.0246287	0.0246287	0.0246287	0.0246287	0.0246287	0.0246287
117	1	-47.59709	-50.82874	3.231656	0.0110545	0.0110545	0.0110545	0.0110545	0.0110545	0.0110545	0.0110545
118	0	-46.8043	-49.74985	2.945552	0.01840057	0.0184006	0.0184006	0.0184006	0.0184006	0.0184006	0.0184006
119	1	-49.24998	-52.60251	3.352533	0.007950831	0.00795083	0.00795083	0.00795083	0.00795083	0.00795083	0.00795083
120	0	-47.02018	-50.16357	3.143389	0.01332085	0.0133209	0.0133209	0.0133209	0.0133209	0.0133209	0.0133209
121	1	-46.85614	-49.77335	2.917203	0.01912845	0.0191285	0.0191285	0.0191285	0.0191285	0.0191285	0.0191285
