Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]
80	-47.25834	-50.44581	3.187474	0.01218893	0.0121889	0.0121889	0.0121889	0.0121889	0.0121889	0.0121889
81	-47.53508	-50.75964	3.22456	0.01123668	0.0112367	0.0112367	0.0112367	0.0112367	0.0112367	0.0112367
82	-46.9431	-50.06727	3.124172	0.01381429	0.0138143	0.0138143	0.0138143	0.0138143	0.0138143	0.0138143
83	-46.80144	-49.87194	3.070496	0.01519247	0.0151925	0.0151925	0.0151925	0.0151925	0.0151925	0.0151925
84	-46.94382	-49.82518	2.881357	0.02004885	0.0200488	0.0200488	0.0200488	0.0200488	0.0200488	0.0200488
85	-47.05106	-49.89741	2.846354	0.02094758	0.0209476	0.0209476	0.0209476	0.0209476	0.0209476	0.0209476
86	-46.8778	-49.98181	3.104007	0.01433205	0.014332	0.014332	0.014332	0.014332	0.014332	0.014332
87	-50.53547	-52.82011	2.284638	0.03537032	0.0353703	0.0353703	0.0353703	0.0353703	0.0353703	0.0353703
88	-47.14165	-49.96245	2.820798	0.02160376	0.0216038	0.0216038	0.0216038	0.0216038	0.0216038	0.0216038
89	-47.02136	-50.16501	3.143656	0.01331401	0.013314	0.013314	0.013314	0.013314	0.013314	0.013314
90	-46.7542	-49.77778	3.023577	0.01639717	0.0163972	0.0163972	0.0163972	0.0163972	0.0163972	0.0163972
91	-46.79242	-49.85739	3.064965	0.0153345	0.0153345	0.0153345	0.0153345	0.0153345	0.0153345	0.0153345
92	-46.78227	-49.84015	3.05788	0.0155164	0.0155164	0.0155164	0.0155164	0.0155164	0.0155164	0.0155164
93	-46.81906	-49.75557	2.936515	0.0186326	0.0186326	0.0186326	0.0186326	0.0186326	0.0186326	0.0186326
94	-46.92335	-49.81228	2.888933	0.01985433	0.0198543	0.0198543	0.0198543	0.0198543	0.0198543	0.0198543
95	-47.41663	-50.1718	2.755164	0.02328899	0.023289	0.023289	0.023289	0.023289	0.023289	0.023289
96	-47.41663	-50.1718	2.755164	0.02328899	0.023289	0.023289	0.023289	0.023289	0.023289	0.023289
97	-46.76201	-49.80019	3.038177	0.0160223	0.0160223	0.0160223	0.0160223	0.0160223	0.0160223	0.0160223
98	-46.75215	-49.76429	3.012134	0.01669099	0.016691	0.016691	0.016691	0.016691	0.016691	0.016691
99	-46.75215	-49.76429	3.012134	0.01669099	0.016691	0.016691	0.016691	0.016691	0.016691	0.016691
100	-46.84544	-49.9372	3.091762	0.01464644	0.0146464	0.0146464	0.0146464	0.0146464	0.0146464	0.0146464
101	-47.08193	-49.91925	2.837326	0.02117939	0.0211794	0.0211794	0.0211794	0.0211794	0.0211794	0.0211794
102	-47.1468	-49.96622	2.819424	0.02163905	0.021639	0.021639	0.021639	0.021639	0.021639	0.021639
103	-47.57833	-50.80787	3.229546	0.01110867	0.0111087	0.0111087	0.0111087	0.0111087	0.0111087	0.0111087
104	-47.96687	-51.23489	3.268024	0.0101207	0.0101207	0.0101207	0.0101207	0.0101207	0.0101207	0.0101207
105	-48.40924	-51.71175	3.302503	0.009235403	0.0092354	0.0092354	0.0092354	0.0092354	0.0092354	0.0092354
106	-47.68264	-50.92354	3.240902	0.01081709	0.0108171	0.0108171	0.0108171	0.0108171	0.0108171	0.0108171
107	-46.86237	-49.96079	3.09842	0.0144755	0.0144755	0.0144755	0.0144755	0.0144755	0.0144755	0.0144755
108	-46.84138	-49.76582	2.92444	0.01894264	0.0189426	0.0189426	0.0189426	0.0189426	0.0189426	0.0189426
109	-46.95786	-50.08602	3.128159	0.01371191	0.0137119	0.0137119	0.0137119	0.0137119	0.0137119	0.0137119
110	-47.20164	-50.00685	2.805213	0.02200394	0.0220039	0.0220039	0.0220039	0.0220039	0.0220039	0.0220039
111	-47.09339	-49.92745	2.834063	0.02126317	0.0212632	0.0212632	0.0212632	0.0212632	0.0212632	0.0212632
112	-46.91092	-49.80465	2.893725	0.01973127	0.0197313	0.0197313	0.0197313	0.0197313	0.0197313	0.0197313
113	-46.77833	-49.74345	2.965123	0.01789805	0.017898	0.017898	0.017898	0.017898	0.017898	0.017898
114	-47.10788	-49.93789	2.830003	0.02136742	0.0213674	0.0213674	0.0213674	0.0213674	0.0213674	0.0213674
115	-47.10788	-49.93789	2.830003	0.02136742	0.0213674	0.0213674	0.0213674	0.0213674	0.0213674	0.0213674
116	-47.10788	-49.93789	2.830003	0.02136742	0.0213674	0.0213674	0.0213674	0.0213674	0.0213674	0.0213674
117	-48.01692	-50.6578	2.640878	0.02622344	0.0262234	0.0262234	0.0262234	0.0262234	0.0262234	0.0262234
118	-48.14192	-50.7617	2.619775	0.02676526	0.0267653	0.0267653	0.0267653	0.0267653	0.0267653	0.0267653
119	-47.82271	-50.49786	2.675142	0.02534365	0.0253437	0.0253437	0.0253437	0.0253437	0.0253437	0.0253437
120	-47.36907	-50.13468	2.765614	0.0230207	0.0230207	0.0230207	0.0230207	0.0230207	0.0230207	0.0230207
121	-46.75999	-49.79528	3.035286	0.01609652	0.0160965	0.0160965	0.0160965	0.0160965	0.0160965	0.0160965
122	-46.96112	-50.09013	3.129015	0.01368992	0.0136899	0.0136899	0.0136899	0.0136899	0.0136899	0.0136899
123	-46.91194	-49.80527	2.893324	0.01974157	0.0197416	0.0197416	0.0197416	0.0197416	0.0197416	0.0197416
124	-47.18061	-50.35543	3.174821	0.01251381	0.0125138	0.0125138	0.0125138	0.0125138	0.0125138	0.0125138
125	-46.86773	-49.96814	3.100406	0.01442449	0.0144245	0.0144245	0.0144245	0.0144245	0.0144245	0.0144245
126	-46.82678	-49.75893	2.932153	0.0187446	0.0187446	0.0187446	0.0187446	0.0187446	0.0187446	0.0187446
127	-46.76494	-49.74413	2.979194	0.01753676	0.0175368	0.0175368	0.0175368	0.0175368	0.0175368	0.0175368
128	-46.77083	-49.74323	2.972405	0.01771107	0.0177111	0.0177111	0.0177111	0.0177111	0.0177111	0.0177111
129	-46.97284	-49.84404	2.871198	0.02030968	0.0203097	0.0203097	0.0203097	0.0203097	0.0203097	0.0203097
130	-47.82204	-50.4973	2.675265	0.02534051	0.0253405	0.0253405	0.0253405	0.0253405	0.0253405	0.0253405
131	-48.26704	-50.86632	2.599278	0.02729156	0.0272916	0.0272916	0.0272916	0.0272916	0.0272916	0.0272916
132	-46.93127	-49.81723	2.885957	0.01993074	0.0199307	0.0199307	0.0199307	0.0199307	0.0199307	0.0199307
133	-47.78774	-50.46927	2.681537	0.02517947	0.0251795	0.0251795	0.0251795	0.0251795	0.0251795	0.0251795
134	-49.53854	-51.95222	2.413681	0.032057	0.032057	0.032057	0.032057	0.032057	0.032057	0.032057
135	-47.5477	-50.27545	2.727748	0.02399293	0.0239929	0.0239929	0.0239929	0.0239929	0.0239929	0.0239929
136	-47.09767	-49.93053	2.832857	0.02129413	0.0212941	0.0212941	0.0212941	0.0212941	0.0212941	0.0212941
137	-46.86301	-49.77701	2.913996	0.0192108	0.0192108	0.0192108	0.0192108	0.0192108	0.0192108	0.0192108
138	-46.86301	-49.77701	2.913996	0.0192108	0.0192108	0.0192108	0.0192108	0.0192108	0.0192108	0.0192108
139	-47.25362	-50.44036	3.186742	0.01220773	0.0122077	0.0122077	0.0122077	0.0122077	0.0122077	0.0122077
140	-47.15777	-49.97429	2.816519	0.02171364	0.0217136	0.0217136	0.0217136	0.0217136	0.0217136	0.0217136
141	-46.86662	-49.96662	3.099998	0.01443498	0.014435	0.014435	0.014435	0.014435	0.014435	0.014435
142	-46.89796	-50.00872	3.110757	0.01415872	0.0141587	0.0141587	0.0141587	0.0141587	0.0141587	0.0141587
143	-46.77445	-49.74319	2.968744	0.01780507	0.0178051	0.0178051	0.0178051	0.0178051	0.0178051	0.0178051
144	-47.31802	-50.51442	3.196394	0.01195989	0.0119599	0.0119599	0.0119599	0.0119599	0.0119599	0.0119599
145	-47.43551	-50.64786	3.212358	0.01155	0.01155	0.01155	0.01155	0.01155	0.01155	0.01155
146	-47.37717	-50.58184	3.204669	0.01174741	0.0117474	0.0117474	0.0117474	0.0117474	0.0117474	0.0117474
147	-47.27714	-50.46749	3.190351	0.01211505	0.012115	0.012115	0.012115	0.012115	0.012115	0.012115
148	-47.43009	-50.64175	3.211662	0.01156786	0.0115679	0.0115679	0.0115679	0.0115679	0.0115679	0.0115679
149	-48.25421	-51.54548	3.291268	0.009523884	0.00952388	0.00952388	0.00952388	0.00952388	0.00952388	0.00952388
