Iteration	Replicate_ID	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]	rf[1]	rf[2]	rf[3]	rf[4]
36	0	-124.8199	-166.9427	42.12283	0.00231016	0.01091561	0.008313529	0.0009961056	0.008573762	0.004270583	0.02872307	0.01513352	0.01016375	0.008171311	0.01168069	0.03931222	0.164815	0.0198785	0.772592	0.0427145
37	1	-128.4136	-165.5146	37.10108	0.0002365892	0.009817764	0.01051859	0.01094355	0.002423425	0.008398331	0.02572389	0.02029138	0.01195116	0.02188572	0.03163185	0.04374327	0.10004	0.0204833	0.617693	0.261784
38	0	-123.4743	-166.5921	43.11772	0.001416659	0.01091561	0.006661428	0.001174351	0.004948647	0.003212952	0.02713341	0.008462186	0.008243901	0.0109365	0.01168069	0.04407009	0.164815	0.0198785	0.772592	0.0427145
39	1	-128.6635	-166.0022	37.33876	0.0002708729	0.01009127	0.01471713	0.01094355	0.002233614	0.003864172	0.04080234	0.01703153	0.01195116	0.02188572	0.0185699	0.04288507	0.10004	0.0204833	0.617693	0.261784
40	0	-125.6139	-166.3721	40.75817	0.0009163048	0.01771241	0.009137642	0.001174351	0.001962926	0.003477344	0.02713341	0.008531034	0.007789863	0.0109365	0.01003308	0.06307557	0.164815	0.0198785	0.772592	0.0427145
41	1	-127.7746	-169.5068	41.73226	0.0007514698	0.01318533	0.01471713	0.01232602	0.002233614	0.007290711	0.01708181	0.01404068	0.005206962	0.0135099	0.01389245	0.03813931	0.10004	0.0204833	0.617693	0.261784
42	0	-122.9192	-165.4304	42.51125	0.0008103659	0.0174624	0.009137642	0.001091512	0.001483661	0.002373124	0.02357953	0.008531034	0.01027946	0.01526506	0.02414736	0.03061309	0.164815	0.0198785	0.772592	0.0427145
43	1	-124.925	-166.5352	41.61023	0.0007514698	0.01318533	0.008936213	0.005917873	0.002233614	0.006991432	0.02637226	0.01404068	0.004464614	0.009551358	0.01760734	0.04351403	0.10004	0.0204833	0.617693	0.261784
44	0	-124.1772	-164.1869	40.0097	0.0007016478	0.01400201	0.009627253	0.0009397164	0.001483661	0.002084492	0.03384363	0.01078036	0.01027946	0.01908252	0.01850826	0.04785078	0.119049	0.0143586	0.558055	0.308538
45	1	-125.0825	-167.7827	42.7002	0.0004823469	0.01318533	0.01061714	0.003378086	0.0009757434	0.005070164	0.02407647	0.01404068	0.003330548	0.007831676	0.02125822	0.03868402	0.191056	0.0370088	0.29895	0.472985
46	0	-124.9316	-164.9018	39.9702	0.0007016478	0.01400201	0.01257448	0.001458564	0.001418753	0.003245614	0.03592577	0.01191503	0.01014155	0.01624487	0.01974966	0.0421913	0.145197	0.038984	0.312908	0.502912
47	1	-126.2884	-165.4994	39.21103	0.0003634999	0.01174977	0.01151652	0.002665473	0.001125945	0.009688145	0.03464986	0.01195613	0.002319902	0.00611562	0.0301706	0.05465559	0.271983	0.0571903	0.425579	0.245248
48	0	-129.8641	-166.1474	36.28325	0.001456739	0.007665025	0.009572199	0.001458564	0.001370243	0.002805143	0.04038256	0.01704058	0.01014155	0.03152369	0.01745156	0.06467788	0.14716	0.0259893	0.317139	0.509712
49	1	-125.5617	-165.9124	40.35076	0.0002683512	0.00637897	0.0092144	0.002639968	0.001287616	0.00934801	0.0400923	0.009312142	0.002571838	0.007395416	0.02269126	0.05465559	0.271983	0.0571903	0.425579	0.245248
50	0	-125.003	-163.3028	38.29987	0.0009957912	0.007881269	0.01267742	0.001024436	0.001171843	0.002805143	0.03815793	0.007211652	0.01252915	0.01885816	0.02822577	0.05432946	0.14716	0.0259893	0.317139	0.509712
