Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]	rf[1]	rf[2]	rf[3]	rf[4]
47	-130.0214	-169.6552	39.63384	0.001849347	0.02213606	0.003908559	0.01383894	0.0009044503	0.02291399	0.01369218	0.01998661	0.03718768	0.005315003	0.01894031	0.01217822	0.27533	0.128869	0.523972	0.0718293
48	-131.9978	-168.3893	36.3915	0.001430338	0.02213606	0.00335728	0.009174675	0.0007235384	0.01778641	0.01810169	0.01998661	0.05464323	0.008717084	0.02933881	0.01909371	0.276148	0.129252	0.365686	0.228914
49	-130.2918	-169.3354	39.04363	0.00127789	0.02454955	0.00335728	0.009174675	0.00155124	0.007089608	0.02468916	0.01936512	0.04610349	0.01319966	0.01670185	0.01155098	0.464945	0.0955401	0.270307	0.169208
50	-128.1152	-169.7462	41.63095	0.001622462	0.02454955	0.002367949	0.009174675	0.002592076	0.005979776	0.02468916	0.01936512	0.03060265	0.004389386	0.0155291	0.01250207	0.15115	0.157043	0.444315	0.247492
51	-127.4743	-169.9613	42.48705	0.002371879	0.02454955	0.003015596	0.006082322	0.002129062	0.007929152	0.02213878	0.01698574	0.032768	0.006515269	0.01368256	0.006842394	0.0681799	0.0708384	0.749344	0.111637
52	-129.5364	-171.5971	42.06068	0.002371879	0.03459471	0.003718806	0.01103689	0.001640828	0.005622824	0.02213878	0.01706577	0.03137454	0.004018108	0.009554256	0.006033404	0.164918	0.0792455	0.63095	0.124886
53	-128.8378	-171.3408	42.50294	0.001624231	0.02957501	0.003950289	0.01132534	0.001469189	0.008444223	0.02213878	0.01486216	0.02860146	0.003880411	0.0133252	0.005658957	0.158539	0.0761802	0.606543	0.158737
54	-127.5333	-169.2749	41.74158	0.001762092	0.02954232	0.003969331	0.00727521	0.001164024	0.005121871	0.02573259	0.01486216	0.04059331	0.002731731	0.0133252	0.006204621	0.129182	0.0882424	0.598704	0.183872
55	-127.2255	-169.9707	42.74515	0.001762092	0.01784466	0.004380539	0.004952198	0.002653883	0.005119538	0.02465441	0.01486216	0.04034557	0.003395687	0.0133252	0.009195931	0.532895	0.342339	0.111612	0.0131542
56	-127.9948	-170.2321	42.23734	0.001482939	0.007634479	0.005912104	0.004952198	0.002623339	0.004453815	0.03567792	0.01350841	0.04411892	0.003679236	0.01420766	0.009195931	0.770383	0.0492489	0.161352	0.0190164
57	-127.3678	-171.5379	44.17012	0.001482939	0.009372478	0.005912104	0.004135182	0.002932986	0.002726913	0.02776629	0.00997619	0.03860211	0.004802489	0.005887884	0.01498972	0.771404	0.0547335	0.155532	0.0183305
58	-129.1765	-173.2137	44.03718	0.003425621	0.01407517	0.00444127	0.007073322	0.005607753	0.004258649	0.01299351	0.00997619	0.04413366	0.003021738	0.005887884	0.01498972	0.691261	0.0626112	0.229702	0.0164261
59	-129.3795	-174.3381	44.95864	0.003425621	0.01935234	0.004940633	0.005864661	0.006938091	0.002875408	0.01382099	0.009135415	0.02356501	0.002597582	0.01037141	0.01800596	0.799179	0.0723859	0.109445	0.0189904
60	-128.8185	-170.837	42.01851	0.003425621	0.01935234	0.01484217	0.006050297	0.006260127	0.002665403	0.02275807	0.01394885	0.0237191	0.004095643	0.01445866	0.01800596	0.756573	0.0685268	0.156922	0.017978
61	-127.4622	-167.8211	40.35884	0.002407982	0.01252663	0.01061867	0.006050297	0.007178327	0.002665403	0.02275807	0.01394885	0.03854729	0.003010076	0.01485886	0.03120652	0.698024	0.100279	0.191433	0.010264
62	-126.8115	-167.2569	40.44537	0.001362551	0.01450975	0.007608585	0.009859343	0.005075729	0.0009259536	0.01868542	0.01309624	0.02943726	0.002685681	0.01367497	0.0480112	0.698024	0.100279	0.191433	0.010264
63	-124.4971	-166.6607	42.16361	0.0009136213	0.01355257	0.006758115	0.0163492	0.00666728	0.0009259536	0.03155301	0.006057863	0.0167182	0.002873122	0.01367497	0.03212252	0.0829354	0.0134599	0.902227	0.00137768
64	-124.9546	-165.5541	40.59958	0.001723305	0.008862664	0.006758115	0.01645458	0.02356955	0.001108291	0.02897166	0.005793962	0.01170019	0.002429819	0.02393328	0.03212252	0.450633	0.0112417	0.537454	0.000671209
65	-124.9073	-166.231	41.32371	0.0033441	0.0112527	0.004712809	0.01645458	0.01460339	0.001234116	0.02760335	0.005320567	0.01494468	0.004543495	0.02393328	0.02841492	0.450882	0.0112366	0.537211	0.000670905
