Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]
57	-173.3288	-175.8183	2.489483	0.02088369	0.02088369	0.02088369	0.02088369	0.02088369	0.02088369	0.02088369	0.02088369	0.02088369	0.02088369	0.02088369	0.02088369	0.02088369
58	-173.1573	-176.2383	3.081052	0.01511128	0.01511128	0.01511128	0.01511128	0.01511128	0.01511128	0.01511128	0.01511128	0.01511128	0.01511128	0.01511128	0.01511128	0.01511128
59	-173.1078	-175.6694	2.56162	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979
60	-173.1078	-175.6694	2.56162	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979	0.02017979
61	-172.9386	-175.948	3.009461	0.01580985	0.01580985	0.01580985	0.01580985	0.01580985	0.01580985	0.01580985	0.01580985	0.01580985	0.01580985	0.01580985	0.01580985	0.01580985
62	-172.9253	-175.9293	3.004005	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308
63	-172.9253	-175.9293	3.004005	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308
64	-172.9253	-175.9293	3.004005	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308
65	-172.9253	-175.9293	3.004005	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308	0.01586308
66	-173.0632	-175.6414	2.578285	0.02001718	0.02001718	0.02001718	0.02001718	0.02001718	0.02001718	0.02001718	0.02001718	0.02001718	0.02001718	0.02001718	0.02001718	0.02001718
67	-172.9777	-175.5909	2.613225	0.01967624	0.01967624	0.01967624	0.01967624	0.01967624	0.01967624	0.01967624	0.01967624	0.01967624	0.01967624	0.01967624	0.01967624	0.01967624
68	-172.9777	-175.5909	2.613225	0.01967624	0.01967624	0.01967624	0.01967624	0.01967624	0.01967624	0.01967624	0.01967624	0.01967624	0.01967624	0.01967624	0.01967624	0.01967624
69	-172.7225	-175.5396	2.817092	0.01768694	0.01768694	0.01768694	0.01768694	0.01768694	0.01768694	0.01768694	0.01768694	0.01768694	0.01768694	0.01768694	0.01768694	0.01768694
70	-172.7225	-175.5396	2.817092	0.01768694	0.01768694	0.01768694	0.01768694	0.01768694	0.01768694	0.01768694	0.01768694	0.01768694	0.01768694	0.01768694	0.01768694	0.01768694
71	-172.7225	-175.5396	2.817092	0.01768694	0.01768694	0.01768694	0.01768694	0.01768694	0.01768694	0.01768694	0.01768694	0.01768694	0.01768694	0.01768694	0.01768694	0.01768694
72	-172.8588	-175.5314	2.672598	0.01909689	0.01909689	0.01909689	0.01909689	0.01909689	0.01909689	0.01909689	0.01909689	0.01909689	0.01909689	0.01909689	0.01909689	0.01909689
73	-173.3292	-175.8185	2.489368	0.02088481	0.02088481	0.02088481	0.02088481	0.02088481	0.02088481	0.02088481	0.02088481	0.02088481	0.02088481	0.02088481	0.02088481	0.02088481
74	-173.3292	-175.8185	2.489368	0.02088481	0.02088481	0.02088481	0.02088481	0.02088481	0.02088481	0.02088481	0.02088481	0.02088481	0.02088481	0.02088481	0.02088481	0.02088481
75	-172.7699	-175.5069	2.737	0.01846847	0.01846847	0.01846847	0.01846847	0.01846847	0.01846847	0.01846847	0.01846847	0.01846847	0.01846847	0.01846847	0.01846847	0.01846847
76	-172.7699	-175.5069	2.737	0.01846847	0.01846847	0.01846847	0.01846847	0.01846847	0.01846847	0.01846847	0.01846847	0.01846847	0.01846847	0.01846847	0.01846847	0.01846847
77	-172.9474	-175.5742	2.626869	0.0195431	0.0195431	0.0195431	0.0195431	0.0195431	0.0195431	0.0195431	0.0195431	0.0195431	0.0195431	0.0195431	0.0195431	0.0195431
78	-172.7348	-175.6082	2.873469	0.01713683	0.01713683	0.01713683	0.01713683	0.01713683	0.01713683	0.01713683	0.01713683	0.01713683	0.01713683	0.01713683	0.01713683	0.01713683
79	-172.7348	-175.6082	2.873469	0.01713683	0.01713683	0.01713683	0.01713683	0.01713683	0.01713683	0.01713683	0.01713683	0.01713683	0.01713683	0.01713683	0.01713683	0.01713683
80	-172.7348	-175.6082	2.873469	0.01713683	0.01713683	0.01713683	0.01713683	0.01713683	0.01713683	0.01713683	0.01713683	0.01713683	0.01713683	0.01713683	0.01713683	0.01713683
81	-172.8738	-175.8547	2.980907	0.01608847	0.01608847	0.01608847	0.01608847	0.01608847	0.01608847	0.01608847	0.01608847	0.01608847	0.01608847	0.01608847	0.01608847	0.01608847
