node_label,freq0,qc,qd,qi,qf,qdsig,diff,num_replicates,notes
QS49,0.35602094240837695,0.003390028785725918,0.9105691056910569,0.955,NA,NA,15.686989000008907,200,
QS50,0.4263959390862944,0.01872263436740984,0.9203539823008849,0.985,NA,NA,9.840843000041787,200,
QS51,0.6836734693877551,0.25848520341150816,0.5806451612903225,0.98,NA,NA,6.30380699998932,200,
QS52,0.4371859296482412,0.07856915762460592,0.5357142857142857,0.995,NA,NA,3.0704339999938384,200,
QS53,0.41624365482233505,-0.11600874483986101,0.4,0.985,NA,NA,97.30087199999252,200,
QS54,0.48484848484848486,0.04889467676669179,0.8627450980392157,0.99,NA,NA,49.25394600001164,200,
QS55,0.37755102040816324,-0.03187048008282001,0.6885245901639344,0.98,NA,NA,210.30143599997973,200,
QS56,0.38341968911917096,0.005518201701767644,0.957983193277311,0.965,NA,NA,37.41952699999092,200,
QS57,0.20618556701030927,-0.07798813504271807,0.6623376623376623,0.97,NA,NA,92.93998799996916,200,
QS58,0.45918367346938777,0.0832451029948631,0.5471698113207547,0.98,NA,NA,233.4587290000054,200,
QS59,0.39690721649484534,0.010478577225736974,0.905982905982906,0.97,NA,NA,178.00135200005025,200,
QS60,0.7452830188679245,0.38621865470909356,0.2962962962962963,0.9724770642201834,NA,NA,302.4110179999843,109,
QS61,0.515625,0.12289342264381997,0.4946236559139785,0.96,NA,NA,170.49383900000248,200,
QS62,0.39814814814814814,-0.3445430521611581,0.03076923076923077,0.9908256880733946,NA,NA,113.99073600000702,109,
QS63,0.5050505050505051,0.057213703653169246,0.9591836734693877,0.99,NA,NA,22.197701999975834,200,
QS64,0.8301886792452831,0.47912400906499497,0.8888888888888888,0.9724770642201834,NA,NA,79.51257500000065,109,
QS65,0.2153846153846154,-0.0314722275875694,0.954248366013072,0.975,NA,NA,25.050583000062034,200,
QS66,0.8711340206185567,0.5690515613589869,0.96,0.97,NA,NA,51.980810999986716,200,
QS67,0.5777777777777777,0.1366857457872266,0.6578947368421053,0.9,NA,NA,29.027528000005987,200,
QS68,0.5824175824175825,0.14846202764169814,0.6052631578947368,0.91,NA,NA,27.177286000049207,200,
QS69,0.06557377049180328,-0.19014642245595126,0.9941520467836258,0.915,NA,NA,3.31758400000399,200,
QS70,1.0,1,NA,1.0,NA,NA,817.4431420000037,109,
QS71,1.0,1,NA,1.0,NA,NA,848.3946010000072,200,
QS72,0.9798994974874372,0.8579955361456681,0.0,0.995,NA,NA,725.9575429999968,200,
QS73,0.5353535353535354,0.0036093806322301525,0.0,0.99,NA,NA,86.84405100002186,200,
QS74,1.0,1,NA,1.0,NA,NA,54.50701800000388,200,
QS75,0.6979166666666666,0.25770451347443935,0.7931034482758621,0.96,NA,NA,145.93709799996577,200,
QS76,0.785,0.4062845458828287,0.6046511627906976,1.0,NA,NA,336.0291679999791,200,
QS77,0.546875,0.31121047266967206,0.06896551724137934,0.96,NA,NA,27.930420999997295,200,
QS78,0.32105263157894737,-0.0627753740540744,0.5581395348837209,0.95,NA,NA,37.546377999999095,200,
QS79,0.48128342245989303,0.17482740926726514,0.28865979381443296,0.935,NA,NA,5.499238000018522,200,
QS80,0.9052631578947369,0.6571401682084387,0.7777777777777778,0.95,NA,NA,398.2409960000077,200,
QS81,1.0,1,NA,1.0,NA,NA,331.00462199997855,200,
QS82,1.0,1,NA,1.0,NA,NA,183.1917539999704,200,
QS83,0.8900523560209425,0.6248137800631384,0.5714285714285714,0.955,NA,NA,152.7161849999684,200,
QS84,0.46601941747572817,0.03628094731622844,0.9090909090909091,0.944954128440367,NA,NA,10.541826999979094,109,
QS85,0.7575757575757576,0.40418980223917667,0.29166666666666663,0.99,NA,NA,59.950331999978516,200,
QS86,1.0,1,NA,1.0,NA,NA,143.59463499998674,200,
QS87,0.5897435897435898,0.023365088555989955,0.0,0.975,NA,NA,31.862829999998212,200,
QS88,0.5212765957446809,0.07314731618339143,0.8444444444444444,0.94,NA,NA,1.336249999993015,200,
QS89,0.6302083333333334,0.3413750994704956,0.08450704225352113,0.96,NA,NA,115.322966000007,200,
QS90,0.7570093457943925,0.20002163888224556,0.0,0.981651376146789,NA,NA,20.656751000031363,109,
QS91,1.0,1,NA,1.0,NA,NA,331.25173100002576,200,
QS92,0.689119170984456,0.26715583146628696,0.5666666666666667,0.965,NA,NA,109.12214900000254,200,
QS93,1.0,1,NA,1.0,NA,NA,610.1915000000154,109,
QS94,1.0,1,NA,1.0,NA,NA,274.9220169999171,200,
QS95,1.0,1,NA,1.0,NA,NA,4330.440367999952,109,
QS96,1.0,1,NA,1.0,NA,NA,386.3825840000063,200,
QS97,1.0,1,NA,1.0,NA,NA,487.7845319999615,109,
QS98,1.0,1,NA,1.0,NA,NA,649.4878119999776,200,
QS99,1.0,1,NA,1.0,NA,NA,220.6247340000118,200,
QS100,1.0,1,NA,0.995,NA,NA,714.458077999996,200,
QS101,1.0,1,NA,1.0,NA,NA,251.2428480000235,109,
QS102,0.9949494949494949,0.9541999881673909,0.0,0.99,NA,NA,77.96701099997154,200,
QS103,1.0,1,NA,1.0,NA,NA,108.88196200004313,200,
QS104,0.6597938144329897,0.37432878124529223,0.06060606060606055,0.97,NA,NA,45.867648000014015,200,
QS105,1.0,1,NA,1.0,NA,NA,97.13037800003076,109,
QS106,1.0,1,NA,1.0,NA,NA,925.6707970000571,200,
QS107,1.0,1,NA,1.0,NA,NA,17497.967897000024,200,
QS108,1.0,1,NA,1.0,NA,NA,241.51455199997872,200,
QS109,1.0,1,NA,1.0,NA,NA,351.169401000021,200,
QS110,0.970873786407767,0.8100092444637325,0.0,0.944954128440367,NA,NA,33.743070999975316,109,
BAL_stormiae_Vasquez1081,NA,NA,NA,NA,0.8502080443828016,NA,NA,721.0,
COS_grandiflora_Tyson904,NA,NA,NA,NA,0.8541147132169576,NA,NA,802.0,
Car_guianensis_Gonzalez2158,NA,NA,NA,NA,0.852233676975945,NA,NA,582.0,
Carapichea_ipecacuanha_Croat15117,NA,NA,NA,NA,0.818342151675485,NA,NA,567.0,
Eum_boliviana_Campbell22035,NA,NA,NA,NA,0.8602620087336245,NA,NA,687.0,
HAM_patens_LB54,NA,NA,NA,NA,0.9117647058823529,NA,NA,884.0,
HIL_parasitica_Jiminez2189,NA,NA,NA,NA,0.8812415654520918,NA,NA,741.0,
HOF_phoenicopoda_Wendt3392,NA,NA,NA,NA,0.9250814332247557,NA,NA,921.0,
Not_epiphytica_Neill15737,NA,NA,NA,NA,0.8462837837837838,NA,NA,592.0,
Not_uliginosa_Stevens37138,NA,NA,NA,NA,0.8191489361702128,NA,NA,564.0,
Pal_acanthacea_Monsalve352,NA,NA,NA,NA,0.7790973871733967,NA,NA,842.0,
Pal_acuminata_Fonnegra6968,NA,NA,NA,NA,0.875993640699523,NA,NA,629.0,
Pal_acuminata_Lachenaud966,NA,NA,NA,NA,0.8706624605678234,NA,NA,634.0,
Pal_acuminata_Suazo4616,NA,NA,NA,NA,0.8477564102564102,NA,NA,624.0,
Pal_allenii_Clark243,NA,NA,NA,NA,0.6556728232189973,NA,NA,758.0,
Pal_amethystina_Jaramillo1989,NA,NA,NA,NA,0.5409395973154363,NA,NA,745.0,
Pal_andina_Dzieziech149,NA,NA,NA,NA,0.8841961852861036,NA,NA,734.0,
Pal_angustifolia_Wolff16,NA,NA,NA,NA,0.47634069400630913,NA,NA,634.0,
Pal_apicata_Stergios2543,NA,NA,NA,NA,0.6377551020408163,NA,NA,588.0,
Pal_bangii_Fuentes12864,NA,NA,NA,NA,0.7238805970149254,NA,NA,536.0,
Pal_berteroana_Taylor11646,NA,NA,NA,NA,0.714968152866242,NA,NA,628.0,
Pal_brachiata_Davidse36906,NA,NA,NA,NA,0.7905882352941176,NA,NA,850.0,
Pal_brachiata_Taylor11718,NA,NA,NA,NA,0.8280871670702179,NA,NA,826.0,
