Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rf[1]	rf[2]	rf[3]
80	-33.39484	-51.07179	17.67695	0.0294516	0.00650968	0.0092264	0.0239642	0.0292378	0.0297176	0.178544	0.13952	0.681936
81	-43.84993	-57.15984	13.30991	0.0294516	0.0389106	0.106367	0.0239642	0.0292378	0.0123048	0.570477	0.422781	0.00674234
82	-36.47399	-52.5662	16.09222	0.0294516	0.0389106	0.0190872	0.0420314	0.0292378	0.0100786	0.30949	0.679671	0.0108391
83	-33.44361	-50.54881	17.1052	0.0294516	0.056267	0.0254415	0.00408869	0.0174603	0.0100786	0.367611	0.619514	0.0128746
84	-27.34427	-47.13414	19.78987	0.0294516	0.0094547	0.00166959	0.00574075	0.0174603	0.0100786	0.251017	0.423025	0.325957
85	-26.94722	-46.70969	19.76247	0.0294516	0.0094547	0.00327193	0.00484197	0.0174603	0.0100786	0.410694	0.307264	0.282042
86	-27.40455	-47.44398	20.03944	0.0294516	0.0094547	0.000810685	0.00484197	0.0128101	0.0100786	0.164784	0.0602599	0.774956
87	-26.38122	-46.47417	20.09295	0.0294969	0.0128357	0.000810685	0.00484197	0.0128101	0.00527837	0.209736	0.564054	0.22621
88	-32.92043	-51.00652	18.08609	0.0362794	0.0128357	0.000427238	0.0499713	0.0128101	0.00527837	0.308632	0.0381711	0.653197
89	-41.43208	-57.65949	16.22741	0.0362794	0.0573178	0.000427238	0.0499713	0.0128101	0.00852023	0.0102686	0.289071	0.70066
90	-39.14298	-55.74191	16.59893	0.0559052	0.0100881	0.000427238	0.0499713	0.0128101	0.0265848	0.0113068	0.21719	0.771503
91	-42.88032	-58.29594	15.41563	0.0559052	0.0100881	0.000382331	0.0803989	0.0128101	0.0265848	0.0140674	0.0260653	0.959867
92	-39.18953	-57.87213	18.6826	0.00339021	0.0384065	0.000382331	0.021006	0.0128101	0.0262909	0.0140674	0.0260653	0.959867
93	-36.30966	-55.03366	18.724	0.00339021	0.0384065	0.00380639	0.021006	0.00832309	0.0262909	0.408195	0.0156457	0.576159
94	-39.84801	-60.36321	20.51521	0.00339021	0.00617364	0.00340697	0.0318921	0.00832309	0.00204567	0.408195	0.0156457	0.576159
95	-37.55134	-58.94474	21.3934	0.00339021	0.00617364	0.00340697	0.0142453	0.00342126	0.00204567	0.263147	0.237007	0.499846
96	-38.52201	-59.87624	21.35423	0.00317779	0.00612786	0.00576449	0.0142453	0.000255187	0.00411814	0.263147	0.237007	0.499846
97	-51.81877	-68.85942	17.04065	0.00233187	0.0196281	0.0332291	0.0796513	0.00482901	0.00477576	0.393375	0.354298	0.252327
98	-40.29201	-58.85266	18.56065	0.00638006	0.0196281	0.0438461	0.029446	0.00134128	0.00477576	0.195768	0.247541	0.556691
99	-32.30076	-52.79706	20.49631	0.00638006	0.0196281	0.0159395	0.00425453	0.00109307	0.00842174	0.254202	0.0229402	0.722858
100	-29.34616	-48.79277	19.44661	0.0279991	0.00846595	0.0231211	0.00212364	0.0125375	0.00842174	0.407902	0.0753497	0.516749
101	-34.49145	-51.19351	16.70205	0.0279991	0.0160878	0.011084	0.0529866	0.0365598	0.00842174	0.736836	0.104546	0.158617
102	-34.90768	-49.1068	14.19913	0.0279991	0.0160878	0.00228753	0.0109005	0.0365598	0.12357	0.115701	0.333673	0.550625
103	-30.08805	-49.06687	18.97883	0.0134061	0.0160878	0.00641093	0.0109005	0.0365598	0.011315	0.218492	0.630116	0.151392
104	-50.54197	-61.93852	11.39656	0.084734	0.0160878	0.00641093	0.123862	0.0365598	0.0217096	0.364542	0.605245	0.0302124
105	-34.59756	-49.24875	14.65119	0.0656635	0.0160878	0.0119085	0.011912	0.0785158	0.0217096	0.648163	0.298119	0.0537181
106	-36.84854	-54.86832	18.01978	0.0656635	0.00137189	0.0119085	0.011912	0.00673921	0.0217096	0.923034	0.0652148	0.011751
107	-35.63312	-52.64567	17.01254	0.0656635	0.0263752	0.0192058	0.00943633	0.00277624	0.0217096	0.0413339	0.641523	0.317143
108	-42.4132	-59.24367	16.83047	0.0656635	0.00289692	0.0654894	0.00964934	0.00277624	0.00336632	0.0660187	0.54331	0.390671
109	-40.81316	-59.67719	18.86403	0.0036068	0.0582527	0.0166306	0.0148669	0.00277624	0.00149447	0.802746	0.131577	0.0656763
110	-40.8407	-59.70736	18.86665	0.0036068	0.0582527	0.0166306	0.0148669	0.00203969	0.00216354	0.694403	0.203847	0.10175
111	-34.47531	-53.97717	19.50185	0.0152845	0.00944095	0.0260864	0.0148669	0.0049703	0.0106017	0.0514735	0.849932	0.098595
112	-35.49682	-54.57029	19.07347	0.0152845	0.00944095	0.0260864	0.0185368	0.0049703	0.0179309	0.0448943	0.872064	0.083042
113	-37.41048	-54.15376	16.74327	0.0152845	0.00944095	0.0260864	0.0274663	0.0049703	0.0688321	0.260998	0.256228	0.482774
114	-30.24091	-50.20166	19.96074	0.0152845	0.00944095	0.012938	0.0120144	0.000656466	0.0191338	0.529796	0.329434	0.14077
115	-34.40213	-51.44279	17.04066	0.0337101	0.0655884	0.0225551	0.00280098	0.000656466	0.0191338	0.529796	0.329434	0.14077
116	-36.70695	-53.51015	16.8032	0.00890589	0.0655884	0.0225551	0.00563657	0.0287222	0.0191338	0.645476	0.248387	0.106137
117	-38.69245	-54.91899	16.22654	0.00890589	0.0655884	0.0373615	0.00563657	0.0287222	0.0191338	0.734287	0.0785093	0.187203
118	-35.16546	-53.61939	18.45392	0.00890589	0.0655884	0.0101977	0.00563657	0.0137259	0.00410316	0.620128	0.0663035	0.313568
119	-36.06077	-54.77181	18.71104	0.00761326	0.0686758	0.00123776	0.00619986	0.0137259	0.00410316	0.245294	0.163933	0.590773
120	-40.87294	-57.92302	17.05008	0.00279271	0.0686758	0.0480706	0.00219831	0.00561389	0.0168516	0.235798	0.157587	0.606615
121	-60.2817	-75.1798	14.8981	0.00279271	0.0105406	0.0178992	0.145257	0.00611647	0.0168516	0.267971	0.0619945	0.670035
122	-56.50687	-67.12237	10.6155	0.0511888	0.0105406	0.0178992	0.194597	0.00611647	0.029077	0.595197	0.205693	0.199109
123	-70.39932	-78.87791	8.478584	0.0199275	0.0105406	0.107877	0.194597	0.00226732	0.029077	0.270989	0.638358	0.0906529
124	-43.05838	-57.87533	14.81695	0.0199275	0.0105406	0.107877	0.0247334	0.00938539	0.029077	0.211474	0.671412	0.117114
125	-35.64708	-50.95106	15.30398	0.0199275	0.0457355	0.0111267	0.0247334	0.0127479	0.0747652	0.211474	0.671412	0.117114
126	-41.56883	-55.21843	13.64961	0.0163109	0.0457355	0.0641143	0.0247334	0.0127479	0.0678721	0.791553	0.0811589	0.127288
127	-42.10428	-56.22365	14.11937	0.0163109	0.0212701	0.0641143	0.037137	0.0127479	0.0678721	0.550195	0.361329	0.0884761
128	-44.81255	-60.75681	15.94426	0.00639811	0.00828244	0.0641143	0.0169979	0.00893137	0.0678721	0.0137996	0.00906261	0.977138
129	-41.19912	-57.48643	16.28731	0.00331847	0.0396611	0.025731	0.0156938	0.0115115	0.0678721	0.0137052	0.828777	0.157518
130	-36.36546	-53.58458	17.21912	0.011481	0.00725799	0.00321853	0.0137105	0.0363226	0.0678721	0.0389109	0.807596	0.153493
131	-32.70431	-51.09578	18.39147	0.0188278	0.00725799	0.00611741	0.0213285	0.0363226	0.019907	0.152121	0.712467	0.135412
132	-41.16068	-57.22075	16.06007	0.00776989	0.00610702	0.0809062	0.0213285	0.0363226	0.0171884	0.14592	0.683428	0.170651
133	-39.85532	-56.58501	16.72969	0.00418724	0.00610702	0.0809062	0.0121931	0.0318475	0.0171884	0.14592	0.683428	0.170651
134	-42.25355	-55.67745	13.4239	0.00132511	0.0158166	0.0809062	0.0163375	0.0492087	0.0737156	0.14592	0.683428	0.170651
135	-42.96529	-55.57546	12.61017	0.0222184	0.0158166	0.0809062	0.0163375	0.0492087	0.0737156	0.109685	0.613696	0.276619
136	-41.41255	-57.05337	15.64082	0.0104883	0.0299493	0.0330673	0.0496776	0.0492087	0.00799628	0.384654	0.129865	0.485481
137	-36.91442	-54.09131	17.17688	0.0104883	0.0299493	0.00774146	0.0496776	0.0350942	0.00799628	0.489579	0.128595	0.381826
138	-48.74716	-60.18472	11.43756	0.0104883	0.0699656	0.047342	0.0496776	0.102842	0.00799628	0.425979	0.241798	0.332224
139	-42.41935	-56.59772	14.17838	0.0104883	0.00535732	0.0597362	0.0133157	0.102842	0.0261984	0.472503	0.158988	0.368509
140	-38.39532	-53.67085	15.27552	0.00398421	0.00238037	0.0131891	0.00451982	0.102842	0.0628519	0.825965	0.00842195	0.165613
141	-46.98069	-66.37627	19.39558	0.00132998	0.00238037	0.0131891	0.0120151	0.0407303	0.0143347	0.741272	0.00755838	0.251169
142	-45.90499	-58.98567	13.08068	0.0206772	0.0942291	0.0641358	0.0120151	0.0407303	0.0143347	0.900531	0.00918226	0.0902864
143	-35.55711	-51.43166	15.87455	0.0185943	0.0622917	0.0182829	0.0148241	0.0407303	0.0196628	0.566467	0.424792	0.0087413
144	-39.48774	-53.2798	13.79206	0.0112642	0.0269819	0.0520847	0.0148241	0.0407303	0.0819713	0.566467	0.424792	0.0087413
145	-45.16744	-59.4697	14.30227	0.0112642	0.0882965	0.0520847	0.0148241	0.0407303	0.0075566	0.458114	0.266316	0.27557
146	-42.79648	-56.38457	13.58809	0.070999	0.0813225	0.013732	0.0187532	0.0407303	0.0075566	0.669635	0.15286	0.177505
147	-41.93026	-61.27841	19.34815	0.00453195	0.00313112	0.013732	0.0344628	0.0217827	0.0075566	0.539182	0.284398	0.17642
148	-41.84042	-59.08104	17.24062	0.00453195	0.0684762	0.017614	0.0115205	0.0287485	0.00841953	0.171742	0.778171	0.0500873
149	-40.9181	-54.79626	13.87815	0.0631273	0.0383536	0.0829252	0.00407189	0.0287485	0.00841953	0.171742	0.778171	0.0500873
150	-53.35396	-64.29785	10.94388	0.0812568	0.0383536	0.0588766	0.0853319	0.0287485	0.00841953	0.12679	0.668204	0.205007
151	-34.92969	-51.39849	16.4688	0.0254207	0.0383536	0.0588766	0.00189121	0.0287485	0.00583739	0.429125	0.436849	0.134026
152	-43.22153	-60.79848	17.57695	0.00454066	0.00321033	0.0588766	0.0294615	0.0287485	0.00583739	0.565061	0.232394	0.202545
153	-43.07066	-60.98836	17.9177	0.00533673	0.0039619	0.0499238	0.0294615	0.0222671	0.010975	0.55704	0.23668	0.20628
154	-34.28412	-53.25486	18.97074	0.0208516	0.0039619	0.00164772	0.0294615	0.0222671	0.0166979	0.0866431	0.026779	0.886578
155	-28.75331	-48.8167	20.06339	0.0208516	0.0039619	0.00164772	0.00140654	0.0222671	0.0166979	0.673234	0.175586	0.151181
156	-30.485	-49.05703	18.57203	0.0208516	0.0121815	0.0237352	0.0119419	0.0222671	0.0141478	0.673234	0.175586	0.151181
157	-30.26257	-48.85217	18.5896	0.0208516	0.0124204	0.0143628	0.00677496	0.0401482	0.0101161	0.149321	0.182005	0.668674
158	-40.42133	-59.11331	18.69199	0.00126781	0.0124204	0.0297858	0.00677496	0.0148399	0.0369561	0.565001	0.289977	0.145022
159	-35.05166	-53.81717	18.7655	0.00760573	0.0361287	0.0297858	0.00553015	0.0148399	0.00626708	0.259871	0.673426	0.0667026
