Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]
59	-173.4716	-175.9206	2.44897	0.02127901	0.02127901	0.02127901	0.02127901	0.02127901	0.02127901	0.02127901	0.02127901	0.02127901	0.02127901	0.02127901	0.02127901	0.02127901
60	-172.7475	-175.6394	2.891921	0.01695678	0.01695678	0.01695678	0.01695678	0.01695678	0.01695678	0.01695678	0.01695678	0.01695678	0.01695678	0.01695678	0.01695678	0.01695678
61	-172.9658	-175.9858	3.020055	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648
62	-172.9658	-175.9858	3.020055	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648	0.01570648
63	-174.643	-176.8367	2.193721	0.02376968	0.02376968	0.02376968	0.02376968	0.02376968	0.02376968	0.02376968	0.02376968	0.02376968	0.02376968	0.02376968	0.02376968	0.02376968
64	-173.4418	-175.8989	2.457129	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939
65	-173.4418	-175.8989	2.457129	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939	0.02119939
66	-173.4169	-176.56	3.143053	0.01450629	0.01450629	0.01450629	0.01450629	0.01450629	0.01450629	0.01450629	0.01450629	0.01450629	0.01450629	0.01450629	0.01450629	0.01450629
67	-173.8714	-176.2217	2.350358	0.02224124	0.02224124	0.02224124	0.02224124	0.02224124	0.02224124	0.02224124	0.02224124	0.02224124	0.02224124	0.02224124	0.02224124	0.02224124
68	-173.2295	-175.7496	2.520153	0.02058441	0.02058441	0.02058441	0.02058441	0.02058441	0.02058441	0.02058441	0.02058441	0.02058441	0.02058441	0.02058441	0.02058441	0.02058441
69	-173.5546	-176.7252	3.170546	0.01423802	0.01423802	0.01423802	0.01423802	0.01423802	0.01423802	0.01423802	0.01423802	0.01423802	0.01423802	0.01423802	0.01423802	0.01423802
70	-172.7492	-175.5088	2.759674	0.01824722	0.01824722	0.01824722	0.01824722	0.01824722	0.01824722	0.01824722	0.01824722	0.01824722	0.01824722	0.01824722	0.01824722	0.01824722
71	-172.7492	-175.5088	2.759674	0.01824722	0.01824722	0.01824722	0.01824722	0.01824722	0.01824722	0.01824722	0.01824722	0.01824722	0.01824722	0.01824722	0.01824722	0.01824722
72	-172.7492	-175.5088	2.759674	0.01824722	0.01824722	0.01824722	0.01824722	0.01824722	0.01824722	0.01824722	0.01824722	0.01824722	0.01824722	0.01824722	0.01824722	0.01824722
73	-172.7453	-175.6345	2.889206	0.01698328	0.01698328	0.01698328	0.01698328	0.01698328	0.01698328	0.01698328	0.01698328	0.01698328	0.01698328	0.01698328	0.01698328	0.01698328
74	-172.7453	-175.6345	2.889206	0.01698328	0.01698328	0.01698328	0.01698328	0.01698328	0.01698328	0.01698328	0.01698328	0.01698328	0.01698328	0.01698328	0.01698328	0.01698328
75	-174.6248	-176.8219	2.197083	0.02373687	0.02373687	0.02373687	0.02373687	0.02373687	0.02373687	0.02373687	0.02373687	0.02373687	0.02373687	0.02373687	0.02373687	0.02373687
76	-172.832	-175.7908	2.958775	0.01630444	0.01630444	0.01630444	0.01630444	0.01630444	0.01630444	0.01630444	0.01630444	0.01630444	0.01630444	0.01630444	0.01630444	0.01630444
77	-172.7277	-175.5864	2.858699	0.01728095	0.01728095	0.01728095	0.01728095	0.01728095	0.01728095	0.01728095	0.01728095	0.01728095	0.01728095	0.01728095	0.01728095	0.01728095
78	-172.7277	-175.5864	2.858699	0.01728095	0.01728095	0.01728095	0.01728095	0.01728095	0.01728095	0.01728095	0.01728095	0.01728095	0.01728095	0.01728095	0.01728095	0.01728095
79	-173.685	-176.8792	3.194232	0.01400689	0.01400689	0.01400689	0.01400689	0.01400689	0.01400689	0.01400689	0.01400689	0.01400689	0.01400689	0.01400689	0.01400689	0.01400689
80	-173.4097	-176.5513	3.141533	0.01452111	0.01452111	0.01452111	0.01452111	0.01452111	0.01452111	0.01452111	0.01452111	0.01452111	0.01452111	0.01452111	0.01452111	0.01452111
81	-172.9163	-175.5581	2.641739	0.019398	0.019398	0.019398	0.019398	0.019398	0.019398	0.019398	0.019398	0.019398	0.019398	0.019398	0.019398	0.019398
82	-172.96	-175.9779	3.017862	0.01572788	0.01572788	0.01572788	0.01572788	0.01572788	0.01572788	0.01572788	0.01572788	0.01572788	0.01572788	0.01572788	0.01572788	0.01572788
83	-172.96	-175.9779	3.017862	0.01572788	0.01572788	0.01572788	0.01572788	0.01572788	0.01572788	0.01572788	0.01572788	0.01572788	0.01572788	0.01572788	0.01572788	0.01572788
84	-173.3478	-175.8316	2.483877	0.02093839	0.02093839	0.02093839	0.02093839	0.02093839	0.02093839	0.02093839	0.02093839	0.02093839	0.02093839	0.02093839	0.02093839	0.02093839
85	-172.839	-175.8018	2.962767	0.01626548	0.01626548	0.01626548	0.01626548	0.01626548	0.01626548	0.01626548	0.01626548	0.01626548	0.01626548	0.01626548	0.01626548	0.01626548
86	-172.839	-175.8018	2.962767	0.01626548	0.01626548	0.01626548	0.01626548	0.01626548	0.01626548	0.01626548	0.01626548	0.01626548	0.01626548	0.01626548	0.01626548	0.01626548
87	-172.839	-175.8018	2.962767	0.01626548	0.01626548	0.01626548	0.01626548	0.01626548	0.01626548	0.01626548	0.01626548	0.01626548	0.01626548	0.01626548	0.01626548	0.01626548
88	-174.1025	-177.3619	3.259327	0.01337171	0.01337171	0.01337171	0.01337171	0.01337171	0.01337171	0.01337171	0.01337171	0.01337171	0.01337171	0.01337171	0.01337171	0.01337171
89	-175.3962	-178.8014	3.405169	0.01194861	0.01194861	0.01194861	0.01194861	0.01194861	0.01194861	0.01194861	0.01194861	0.01194861	0.01194861	0.01194861	0.01194861	0.01194861
90	-172.7675	-175.5069	2.739383	0.01844521	0.01844521	0.01844521	0.01844521	0.01844521	0.01844521	0.01844521	0.01844521	0.01844521	0.01844521	0.01844521	0.01844521	0.01844521
91	-173.3159	-175.8092	2.493323	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622
92	-173.3159	-175.8092	2.493323	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622
93	-173.3159	-175.8092	2.493323	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622
94	-173.3159	-175.8092	2.493323	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622	0.02084622
95	-172.7243	-175.5319	2.807676	0.01777883	0.01777883	0.01777883	0.01777883	0.01777883	0.01777883	0.01777883	0.01777883	0.01777883	0.01777883	0.01777883	0.01777883	0.01777883
96	-172.9792	-176.0043	3.025048	0.01565775	0.01565775	0.01565775	0.01565775	0.01565775	0.01565775	0.01565775	0.01565775	0.01565775	0.01565775	0.01565775	0.01565775	0.01565775
97	-172.8059	-175.5129	2.707023	0.01876098	0.01876098	0.01876098	0.01876098	0.01876098	0.01876098	0.01876098	0.01876098	0.01876098	0.01876098	0.01876098	0.01876098	0.01876098
98	-174.7645	-176.936	2.171537	0.02398614	0.02398614	0.02398614	0.02398614	0.02398614	0.02398614	0.02398614	0.02398614	0.02398614	0.02398614	0.02398614	0.02398614	0.02398614
99	-172.9275	-175.5638	2.636265	0.01945142	0.01945142	0.01945142	0.01945142	0.01945142	0.01945142	0.01945142	0.01945142	0.01945142	0.01945142	0.01945142	0.01945142	0.01945142
100	-172.9275	-175.5638	2.636265	0.01945142	0.01945142	0.01945142	0.01945142	0.01945142	0.01945142	0.01945142	0.01945142	0.01945142	0.01945142	0.01945142	0.01945142	0.01945142
101	-172.7298	-175.5936	2.863745	0.01723172	0.01723172	0.01723172	0.01723172	0.01723172	0.01723172	0.01723172	0.01723172	0.01723172	0.01723172	0.01723172	0.01723172	0.01723172
102	-172.7298	-175.5936	2.863745	0.01723172	0.01723172	0.01723172	0.01723172	0.01723172	0.01723172	0.01723172	0.01723172	0.01723172	0.01723172	0.01723172	0.01723172	0.01723172
103	-172.7298	-175.5936	2.863745	0.01723172	0.01723172	0.01723172	0.01723172	0.01723172	0.01723172	0.01723172	0.01723172	0.01723172	0.01723172	0.01723172	0.01723172	0.01723172
104	-173.5961	-176.0124	2.416303	0.02159776	0.02159776	0.02159776	0.02159776	0.02159776	0.02159776	0.02159776	0.02159776	0.02159776	0.02159776	0.02159776	0.02159776	0.02159776
105	-172.725	-175.5754	2.850435	0.0173616	0.0173616	0.0173616	0.0173616	0.0173616	0.0173616	0.0173616	0.0173616	0.0173616	0.0173616	0.0173616	0.0173616	0.0173616
106	-173.1162	-175.6748	2.558577	0.02020948	0.02020948	0.02020948	0.02020948	0.02020948	0.02020948	0.02020948	0.02020948	0.02020948	0.02020948	0.02020948	0.02020948	0.02020948
107	-172.7746	-175.5072	2.732616	0.01851125	0.01851125	0.01851125	0.01851125	0.01851125	0.01851125	0.01851125	0.01851125	0.01851125	0.01851125	0.01851125	0.01851125	0.01851125
108	-172.7746	-175.5072	2.732616	0.01851125	0.01851125	0.01851125	0.01851125	0.01851125	0.01851125	0.01851125	0.01851125	0.01851125	0.01851125	0.01851125	0.01851125	0.01851125
109	-173.2044	-176.298	3.093614	0.0149887	0.0149887	0.0149887	0.0149887	0.0149887	0.0149887	0.0149887	0.0149887	0.0149887	0.0149887	0.0149887	0.0149887	0.0149887
110	-175.1822	-177.2811	2.09887	0.02469521	0.02469521	0.02469521	0.02469521	0.02469521	0.02469521	0.02469521	0.02469521	0.02469521	0.02469521	0.02469521	0.02469521	0.02469521
111	-173.1587	-175.7023	2.543676	0.02035489	0.02035489	0.02035489	0.02035489	0.02035489	0.02035489	0.02035489	0.02035489	0.02035489	0.02035489	0.02035489	0.02035489	0.02035489
112	-173.691	-176.0837	2.392687	0.0218282	0.0218282	0.0218282	0.0218282	0.0218282	0.0218282	0.0218282	0.0218282	0.0218282	0.0218282	0.0218282	0.0218282	0.0218282
113	-173.1358	-175.6874	2.551631	0.02027726	0.02027726	0.02027726	0.02027726	0.02027726	0.02027726	0.02027726	0.02027726	0.02027726	0.02027726	0.02027726	0.02027726	0.02027726
114	-173.0897	-176.1514	3.06164	0.0153007	0.0153007	0.0153007	0.0153007	0.0153007	0.0153007	0.0153007	0.0153007	0.0153007	0.0153007	0.0153007	0.0153007	0.0153007
115	-172.7306	-175.52	2.789368	0.01795747	0.01795747	0.01795747	0.01795747	0.01795747	0.01795747	0.01795747	0.01795747	0.01795747	0.01795747	0.01795747	0.01795747	0.01795747
116	-173.031	-176.074	3.043076	0.01548184	0.01548184	0.01548184	0.01548184	0.01548184	0.01548184	0.01548184	0.01548184	0.01548184	0.01548184	0.01548184	0.01548184	0.01548184
117	-173.7177	-176.104	2.386225	0.02189126	0.02189126	0.02189126	0.02189126	0.02189126	0.02189126	0.02189126	0.02189126	0.02189126	0.02189126	0.02189126	0.02189126	0.02189126
118	-172.8209	-175.5173	2.696395	0.01886468	0.01886468	0.01886468	0.01886468	0.01886468	0.01886468	0.01886468	0.01886468	0.01886468	0.01886468	0.01886468	0.01886468	0.01886468
