Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]	rf[1]	rf[2]	rf[3]	rf[4]
63	-38.45689	-70.98918	32.53228	0.054147	0.0717043	0.0163538	0.0631214	0.00888027	0.0430159	0.0159336	0.00270865	0.00273831	0.057697	0.00156417	0.00120957	0.344131	0.319758	0.207232	0.128879
64	-39.72422	-72.13001	32.40579	0.0497409	0.0856408	0.0128933	0.0364671	0.0133871	0.0651419	0.0129422	0.00426832	0.00165357	0.057697	0.00128009	0.00120957	0.363903	0.310118	0.200985	0.124994
65	-38.50264	-72.02489	33.52225	0.0497409	0.0856408	0.0109558	0.0416549	0.0242641	0.0466179	0.0104098	0.00297817	0.00165357	0.0372102	0.00143844	0.00109081	0.382837	0.326254	0.211443	0.0794657
66	-41.16392	-73.98102	32.8171	0.0736891	0.0856408	0.00509833	0.0549283	0.0284144	0.0306757	0.0113531	0.00297817	0.00269789	0.0309507	0.00250831	0.002826	0.201828	0.397255	0.257457	0.14346
67	-41.09795	-74.32337	33.22542	0.0736891	0.0856408	0.00585073	0.0458	0.0342342	0.0292884	0.0159156	0.00396451	0.00222207	0.0155546	0.00627409	0.00284264	0.227076	0.446949	0.221056	0.10492
68	-40.54113	-72.43133	31.89021	0.0649821	0.0856408	0.00868794	0.0646003	0.0342342	0.0470977	0.0159156	0.00320907	0.00254668	0.0155546	0.010116	0.00297494	0.368771	0.415441	0.163748	0.0520407
69	-39.70878	-73.67213	33.96335	0.0562299	0.0889164	0.00969875	0.0240639	0.0202838	0.0463769	0.0296902	0.00213491	0.00398345	0.0111025	0.00687389	0.00297494	0.38353	0.432067	0.130279	0.0541234
70	-40.88362	-73.57897	32.69534	0.0603592	0.077946	0.0180775	0.0206768	0.0540829	0.0463769	0.0296902	0.00457913	0.00359639	0.00920627	0.0068722	0.00342362	0.336399	0.378972	0.11427	0.170358
71	-41.58571	-74.32203	32.73633	0.0869232	0.077946	0.011856	0.0140097	0.0522075	0.043583	0.0190953	0.00200605	0.00714561	0.00558067	0.00942999	0.00405187	0.30632	0.345086	0.104052	0.244542
72	-42.09949	-75.03334	32.93385	0.063479	0.077946	0.00952089	0.0176392	0.0783074	0.0297532	0.0207706	0.0020395	0.0035488	0.0128241	0.00942999	0.00350449	0.10532	0.118649	0.0357757	0.740255
73	-37.82329	-72.75568	34.93239	0.0440514	0.0657637	0.012206	0.0153202	0.0576216	0.0344968	0.00788048	0.00430656	0.0067356	0.0128241	0.00716666	0.00907504	0.10532	0.118649	0.0357757	0.740255
74	-32.62857	-69.15693	36.52836	0.0401232	0.0468252	0.00883942	0.0149601	0.0311156	0.0456846	0.0049521	0.00431838	0.0067356	0.0128241	0.00716666	0.0129247	0.686323	0.0415987	0.0125431	0.259535
75	-32.62951	-69.20974	36.58022	0.0628901	0.0319778	0.0108691	0.0134822	0.0311156	0.0278678	0.00615409	0.00582837	0.0067356	0.018126	0.00716666	0.0129247	0.650044	0.0393998	0.064739	0.245817
76	-32.84542	-68.86169	36.01627	0.0628901	0.0295661	0.0143097	0.0129181	0.0254178	0.0612222	0.00615409	0.010836	0.00425638	0.0116017	0.00427724	0.00616908	0.650044	0.0393998	0.064739	0.245817
77	-33.73328	-68.6314	34.89812	0.0628901	0.0417068	0.01093	0.0202516	0.0261469	0.0761752	0.00637781	0.00821204	0.00425638	0.00867133	0.00623788	0.00647212	0.660971	0.0400621	0.0490182	0.249949
78	-34.97148	-69.26986	34.29837	0.0628901	0.0417068	0.0100486	0.0416983	0.0170985	0.0561044	0.0104926	0.0070408	0.00933921	0.0211976	0.00965322	0.00645729	0.840917	0.0509688	0.066226	0.0418877
79	-36.53063	-68.53017	31.99954	0.0627222	0.0417068	0.00968548	0.0925038	0.0170985	0.0685183	0.00797941	0.003577	0.0105279	0.0137706	0.0189748	0.00568798	0.780974	0.0473356	0.132788	0.0389018
80	-35.55656	-69.26037	33.70381	0.0482986	0.0426645	0.0209089	0.0527315	0.0181542	0.0685183	0.00731422	0.00550914	0.0100592	0.0127862	0.0189748	0.00307392	0.534281	0.114886	0.322284	0.0285491
81	-34.57877	-68.96124	34.38247	0.0439162	0.0361102	0.0202152	0.0527315	0.0251315	0.0488402	0.0066492	0.00557266	0.0113913	0.0109787	0.027976	0.00205531	0.534281	0.114886	0.322284	0.0285491
82	-37.55769	-71.82241	34.26472	0.0439162	0.0277308	0.0263005	0.0527315	0.0351067	0.0229115	0.0290393	0.00557266	0.0102389	0.00992344	0.027976	0.00314404	0.249958	0.168129	0.471643	0.11027
83	-39.54022	-72.20775	32.66753	0.0387157	0.0277308	0.0310904	0.0991635	0.0406837	0.0133366	0.0224158	0.00637559	0.0146356	0.0108065	0.027976	0.00267108	0.212062	0.142639	0.400138	0.24516
84	-40.08106	-73.70739	33.62633	0.0315021	0.0146686	0.046925	0.0434625	0.0668378	0.0146456	0.0146521	0.00707929	0.0165851	0.0152918	0.0350665	0.00426653	0.269823	0.323932	0.251905	0.154339
85	-40.00297	-73.52529	33.52233	0.0356728	0.0176614	0.0480167	0.0353756	0.0570762	0.0280773	0.0107063	0.00707929	0.0213436	0.0107838	0.0350665	0.00679375	0.26666	0.313889	0.265999	0.153452
86	-39.2865	-73.19412	33.90762	0.0266246	0.0203823	0.0480167	0.0449872	0.0566508	0.0179372	0.0107063	0.0036593	0.0222912	0.0174015	0.0295459	0.00555746	0.452353	0.244001	0.206773	0.0968735
87	-37.15592	-71.66454	34.50862	0.0390251	0.0119934	0.0279304	0.0449872	0.0639811	0.0258802	0.0174822	0.00228735	0.0111133	0.0174015	0.0206899	0.00555746	0.452353	0.244001	0.206773	0.0968735
88	-37.62806	-71.45863	33.83057	0.0373121	0.0220423	0.0209031	0.0621428	0.0535547	0.0258802	0.024245	0.00371455	0.0111133	0.0199648	0.0206899	0.00417598	0.408342	0.359485	0.186655	0.045518
89	-40.15683	-72.18343	32.0266	0.0373121	0.0220423	0.0209031	0.0746463	0.0720724	0.0387822	0.0191757	0.00500843	0.0203027	0.0134796	0.0226952	0.00563789	0.549879	0.221544	0.114664	0.113913
90	-39.6494	-73.7674	34.11801	0.0226736	0.0220423	0.024252	0.0553088	0.0621347	0.0387822	0.0166183	0.0111763	0.0175154	0.0113897	0.0107239	0.00574141	0.416535	0.410317	0.0868587	0.0862897
91	-34.91205	-71.25372	36.34168	0.0226736	0.0195651	0.0128645	0.0457949	0.0621347	0.0239672	0.0068374	0.0101173	0.00643255	0.0139303	0.0123907	0.00455491	0.684041	0.0316111	0.142641	0.141706
92	-34.24626	-69.74249	35.49623	0.0519249	0.0195651	0.0206523	0.042561	0.0621347	0.019479	0.00545624	0.0129317	0.0095774	0.00727114	0.00897208	0.00244551	0.757416	0.0350019	0.050675	0.156907
93	-34.0924	-69.72131	35.62891	0.0519249	0.0195651	0.0206523	0.0537582	0.0568595	0.0109048	0.00649451	0.00817181	0.0069338	0.00727114	0.0131603	0.00386793	0.365023	0.204906	0.104989	0.325082
94	-35.23839	-70.49092	35.25253	0.0730355	0.0120871	0.0264189	0.0297936	0.0718713	0.00749315	0.00767589	0.00817181	0.0100835	0.00528769	0.0133396	0.00397032	0.774063	0.0725058	0.0371504	0.116281
95	-38.79905	-71.94384	33.14479	0.0730355	0.0120279	0.0280594	0.0247395	0.11705	0.0107494	0.00591617	0.0187536	0.0105411	0.00348792	0.0133396	0.00564754	0.417114	0.153681	0.18274	0.246465
96	-41.75967	-72.77725	31.01757	0.0730355	0.0187525	0.0450967	0.0319986	0.153973	0.0063517	0.00533722	0.0187536	0.00664759	0.00246765	0.00993245	0.00561971	0.353911	0.130394	0.134098	0.381597
97	-39.79215	-72.40273	32.61059	0.0553565	0.00978779	0.0267293	0.0140883	0.166608	0.00534651	0.00601512	0.026312	0.00497771	0.00246765	0.013127	0.00624785	0.313898	0.120451	0.213152	0.352499
98	-41.49612	-73.4534	31.95728	0.0559528	0.0109512	0.0377546	0.0156758	0.169469	0.0101538	0.00665259	0.0190114	0.0115749	0.00246765	0.0103773	0.00379636	0.280381	0.263067	0.190392	0.26616
99	-43.16338	-73.88137	30.71799	0.0649678	0.0114598	0.0510833	0.0156758	0.169469	0.0212814	0.00590703	0.0223938	0.00827951	0.00139031	0.0118708	0.00187909	0.478046	0.190808	0.138095	0.193051
100	-44.42984	-74.76886	30.33902	0.0395988	0.0167455	0.0510833	0.0252713	0.172986	0.0234415	0.00584281	0.0194667	0.0104589	0.00190409	0.0267194	0.00186993	0.209465	0.233377	0.101802	0.455356
101	-45.46448	-75.5921	30.12763	0.0306421	0.0143881	0.0510833	0.0513508	0.163444	0.0234415	0.00765759	0.0170389	0.0104589	0.00272142	0.0267194	0.00186993	0.241616	0.292302	0.0851612	0.380921
102	-42.17263	-74.74619	32.57355	0.0306421	0.0157056	0.0510833	0.0513508	0.0900584	0.0147482	0.00739367	0.0282207	0.0140418	0.00386069	0.0268911	0.00401789	0.543155	0.135352	0.103032	0.218461
103	-42.784	-75.94986	33.16586	0.0212895	0.0157056	0.0545656	0.0503015	0.0771463	0.00680909	0.0089574	0.0296673	0.0152481	0.00209206	0.0345977	0.00642579	0.566859	0.0976172	0.107529	0.227995
104	-42.5023	-76.85367	34.35137	0.0305208	0.0180351	0.0288963	0.0368325	0.0398469	0.00585137	0.0089574	0.03603	0.0415747	0.00205873	0.037337	0.00642579	0.566859	0.0976172	0.107529	0.227995
105	-42.24798	-77.3619	35.11393	0.0231215	0.0180351	0.0278134	0.0316342	0.0476123	0.00754762	0.0089574	0.0310272	0.0415747	0.00324859	0.0238572	0.00835795	0.499433	0.0860058	0.0947383	0.319823
106	-39.32405	-75.9347	36.61065	0.035584	0.0137644	0.0204968	0.019456	0.0415852	0.00486127	0.0113785	0.0310272	0.0220441	0.0047053	0.0238572	0.00559696	0.185596	0.0989312	0.442894	0.272578
107	-37.16347	-74.1771	37.01363	0.0400713	0.0167455	0.0146321	0.0133225	0.0327149	0.00434054	0.0113785	0.0304726	0.0160975	0.00359877	0.0371874	0.00344805	0.308896	0.0699742	0.31326	0.30787
108	-39.00728	-75.14864	36.14135	0.0508679	0.0167455	0.00958418	0.0242329	0.0380846	0.00329768	0.0220783	0.0259288	0.0131311	0.00374513	0.0352625	0.00344805	0.304337	0.0689416	0.323394	0.303327
109	-42.43048	-74.90588	32.4754	0.0672828	0.0204445	0.0129034	0.0250335	0.0993775	0.00353822	0.0320241	0.0259288	0.0156756	0.00374513	0.0301684	0.00441228	0.52132	0.118095	0.284101	0.0764843
110	-44.68883	-77.1892	32.50037	0.0565439	0.0282742	0.0125975	0.0255303	0.102029	0.00670572	0.0401374	0.0147947	0.0156756	0.00287249	0.0303203	0.00441228	0.0257813	0.0713537	0.171656	0.731209
111	-41.93386	-75.60518	33.67132	0.0570004	0.0326714	0.0128756	0.0332535	0.0523732	0.0101864	0.0401374	0.0131048	0.0156851	0.00320479	0.0345683	0.0047668	0.0721	0.0679613	0.163494	0.696444
112	-39.46301	-74.87746	35.41445	0.0435298	0.0326714	0.0124262	0.0301146	0.0455377	0.0223124	0.0270797	0.0167715	0.014961	0.0016262	0.0136449	0.00439538	0.0648435	0.161766	0.14704	0.626351
113	-36.86038	-73.01705	36.15666	0.0382714	0.0381016	0.0175365	0.0242441	0.0334304	0.0165873	0.0270797	0.0167715	0.0158013	0.00109877	0.0136449	0.00344609	0.3881	0.105848	0.0962123	0.409839
114	-37.21392	-72.99901	35.78508	0.0347306	0.0381016	0.0115975	0.0245985	0.0502494	0.0145833	0.0274279	0.019184	0.010846	0.00109877	0.020156	0.00298094	0.494476	0.0874469	0.0794863	0.338591
115	-37.55694	-72.27424	34.71729	0.048668	0.056737	0.0190199	0.0171567	0.0509775	0.0138171	0.0274279	0.0158822	0.0072353	0.00116102	0.020156	0.0047326	0.494476	0.0874469	0.0794863	0.338591
116	-38.93219	-72.21434	33.28215	0.0693518	0.056737	0.0170259	0.0299743	0.0509775	0.0153074	0.0242396	0.0158822	0.00420123	0.00108676	0.0303039	0.0047326	0.509231	0.13986	0.0667161	0.284193
117	-37.35947	-71.73855	34.37909	0.058944	0.0491932	0.0190989	0.014491	0.0398818	0.0167502	0.022793	0.0111952	0.0151663	0.00207887	0.0372923	0.00477032	0.563209	0.0486856	0.0737879	0.314317
118	-37.08835	-71.76264	34.67429	0.0523663	0.0491932	0.016049	0.0194502	0.0355997	0.0244318	0.0257824	0.0111952	0.0117589	0.00110818	0.0302329	0.0069074	0.451781	0.158381	0.0741174	0.315721
119	-38.9116	-73.51491	34.60332	0.0253483	0.0380075	0.0145909	0.0304511	0.0409958	0.048313	0.0318525	0.0128161	0.012195	0.00148065	0.0229961	0.00685082	0.451781	0.158381	0.0741174	0.315721
120	-40.36445	-74.00894	33.64448	0.0325513	0.0405109	0.0202169	0.0304511	0.0530538	0.0321903	0.0276404	0.025318	0.0178619	0.00205052	0.019157	0.00951466	0.627975	0.107478	0.0502965	0.21425
121	-41.52259	-74.74638	33.22379	0.0258466	0.0433411	0.0202169	0.0399555	0.0509201	0.0249026	0.0305078	0.0140933	0.0264907	0.00218398	0.0257041	0.0171558	0.597787	0.0427152	0.0679384	0.291559
122	-39.56158	-73.0582	33.49662	0.0297129	0.0518747	0.0202169	0.0434621	0.0509201	0.0198213	0.0208721	0.00718048	0.0264907	0.00307288	0.0197544	0.0209348	0.881252	0.0341451	0.0543076	0.030295
