Iteration	Replicate_ID	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]	rf[1]	rf[2]	rf[3]	rf[4]
43	1	-130.5418	-167.3804	36.83861	0.002747851	0.005611417	0.0182252	0.01136022	0.001184957	0.02440189	0.0268554	0.01975911	0.02909877	0.005028418	0.015545	0.04030845	0.107162	0.277997	0.501047	0.113794
44	0	-132.7026	-165.5307	32.82806	0.001895376	0.0002754725	0.01848221	0.02852307	0.01072121	0.004133324	0.0342972	0.006957735	0.01080224	0.01670531	0.03487663	0.07159097	0.149168	0.255434	0.215075	0.380324
45	1	-131.3684	-165.9927	34.62434	0.001916056	0.01441304	0.01074507	0.01136022	0.001184957	0.0173405	0.0268554	0.01975911	0.04719865	0.005294359	0.02535725	0.04030845	0.107162	0.277997	0.501047	0.113794
46	0	-129.0812	-166.6603	37.57906	0.0005089053	0.0003192606	0.01848221	0.02122079	0.00655618	0.004829875	0.02429505	0.006957735	0.02567726	0.01082798	0.02777576	0.04545047	0.0865364	0.148184	0.544643	0.220637
47	1	-131.5123	-167.516	36.00378	0.003472864	0.02262274	0.004270764	0.01136022	0.001916676	0.0173405	0.01651686	0.01975911	0.04277563	0.009500549	0.02535725	0.03337958	0.122987	0.319051	0.520114	0.0378477
48	0	-129.1143	-166.2544	37.14013	0.0004515507	0.0002124173	0.02451783	0.02122079	0.002850921	0.004708038	0.0324801	0.008808446	0.01784007	0.0127116	0.02542876	0.04595402	0.0864593	0.148053	0.544157	0.221331
49	1	-129.892	-167.8686	37.97657	0.002937867	0.01961725	0.005753159	0.01136022	0.001228428	0.01107182	0.01455374	0.01427575	0.04277563	0.0151123	0.02919971	0.02113681	0.114341	0.0535731	0.792086	0.0399989
50	0	-130.8864	-164.6006	33.71421	0.0002654162	0.0002074316	0.02451783	0.01430894	0.002850921	0.005000793	0.02565224	0.008066915	0.01784007	0.0170732	0.02542876	0.08940144	0.197453	0.0714802	0.355352	0.375715
51	1	-130.4971	-168.7212	38.22413	0.001599327	0.01961725	0.01177225	0.01869406	0.001716125	0.007774107	0.01454257	0.007547101	0.04277563	0.01304532	0.02919971	0.01832358	0.108045	0.105693	0.748466	0.0377962
52	0	-128.9398	-164.7603	35.82049	0.0004662799	0.0003196616	0.02002886	0.01207251	0.003492809	0.003308514	0.0333364	0.008066915	0.01228408	0.008568626	0.01871513	0.08940144	0.171528	0.293439	0.308696	0.226336
53	1	-129.5215	-168.1448	38.62331	0.00188122	0.02467353	0.01177225	0.01173351	0.002253732	0.003410371	0.01353621	0.007553297	0.04337044	0.01086851	0.02919971	0.0224592	0.108045	0.105693	0.748466	0.0377962
54	0	-127.1216	-166.3992	39.27759	0.0007533951	0.0002799247	0.02244408	0.006882031	0.003492809	0.005517076	0.02052072	0.006329767	0.01033689	0.01248636	0.01871513	0.06856941	0.0937664	0.265955	0.16875	0.471529
55	1	-129.8996	-167.7212	37.8216	0.001119465	0.02263068	0.008091316	0.01136546	0.002253732	0.007508046	0.01891352	0.007777108	0.04337044	0.01556257	0.02919971	0.02274284	0.314393	0.219584	0.387498	0.0785241
56	0	-126.3363	-165.9503	39.61397	0.0003468882	0.0003542374	0.02138632	0.005366677	0.00249934	0.003734525	0.02992466	0.008828131	0.007413659	0.01248636	0.02215515	0.05854935	0.153675	0.435877	0.0642591	0.346188
57	1	-131.0779	-170.4585	39.38056	0.00121444	0.02263068	0.008091316	0.01281153	0.003414253	0.006511505	0.01283569	0.004488882	0.04521227	0.01111732	0.03136801	0.01562693	0.342465	0.239191	0.367796	0.0505488
58	0	-126.5117	-165.8897	39.37807	0.0006442244	0.0003542374	0.0216245	0.00126853	0.002220579	0.006645194	0.02992466	0.009561939	0.009912413	0.01248636	0.02215515	0.05854935	0.154919	0.567913	0.0837243	0.193444
59	1	-131.0802	-173.5895	42.50925	0.001530599	0.01460109	0.005266217	0.01938617	0.005313485	0.007656579	0.01086543	0.006795789	0.03207535	0.01014554	0.01906746	0.01208998	0.522198	0.0606732	0.371737	0.045392
60	0	-126.0377	-166.5696	40.53188	0.000770048	0.0005491553	0.0216245	0.003087654	0.002414079	0.006651775	0.02992466	0.01101858	0.01125144	0.009969171	0.0259532	0.04087422	0.109294	0.498893	0.197913	0.1939
