species,PC1,PC2,elev,Area,Infl_prp_poll
Psychotria_bremekampiana,1.325971317,0.383820991,108,extra_Andean,Insect
Psychotria_everardii,-0.114120805,0.183290906,1216,extra_Andean,Insect
Psychotria_hebeclada,1.280939782,0.03607608,201.5,extra_Andean,Insect
Psychotria_hemicephaelis,0.211881592,0.182226829,832,extra_Andean,Insect
Psychotria_limitanea,1.457915212,0.977610239,107,extra_Andean,Insect
Psychotria_lindenii,0.346710159,0.908862543,871,extra_Andean,Insect
Psychotria_luxurians,1.169952149,0.635213494,506,extra_Andean,Insect
Psychotria_muscosa,1.010199604,0.007163211,284,extra_Andean,Insect
Psychotria_oblonga,1.322694817,0.793425135,140,extra_Andean,Insect
Psychotria_oinochrophylla,-0.178470752,0.141717027,1059.5,extra_Andean,Insect
Psychotria_paniculata,-2.735317956,-0.194260215,2393.5,extra_Andean,Insect
Psychotria_patentinervia,1.469118511,-1.724616147,321,extra_Andean,Insect
Psychotria_phyllocalymma,0.790929742,-1.825726815,321,extra_Andean,Insect
Psychotria_prancei,1.309374915,0.357595579,86,extra_Andean,Insect
Psychotria_rhombibractea,1.309374915,0.357595579,86,extra_Andean,Insect
Psychotria_rhytidocarpa,0.566060084,-2.69963927,607,extra_Andean,Insect
Psychotria_ruelliifolia,0.3199386,-2.453620925,787,extra_Andean,Insect
Psychotria_spathicalyx,0.411387245,-2.204884878,635.5,extra_Andean,Insect
Psychotria_stachyoides,0.269562216,-2.281861642,874,extra_Andean,Insect
Psychotria_suterella,0.592275934,-2.566133881,689,extra_Andean,Insect
Psychotria_ulviformis,1.336231048,0.508488371,207,extra_Andean,Insect
Psychotria_urceolata,1.416380769,0.737574334,166,extra_Andean,Insect
Psychotria_variegata,1.405784597,0.575839784,168.5,extra_Andean,Insect
Psychotria_venulosa,1.163934406,0.602758582,361,extra_Andean,Insect
