,spp1,spp2
239,Palicourea_andina,Palicourea_quadrifolia
240,Palicourea_didymocarpos,Palicourea_quadrifolia
241,Palicourea_rhodothamna,Palicourea_quadrifolia
242,Palicourea_triphylla,Palicourea_quadrifolia
243,Palicourea_croceoides,Palicourea_quadrifolia
244,Palicourea_crocea,Palicourea_quadrifolia
245,Palicourea_lasiantha,Palicourea_quadrifolia
246,Palicourea_nitidella,Palicourea_quadrifolia
247,Palicourea_macrobotrys,Palicourea_quadrifolia
248,Palicourea_guianensis,Palicourea_quadrifolia
249,Palicourea_marcgravii,Palicourea_quadrifolia
250,Palicourea_grandiflora,Palicourea_quadrifolia
251,Palicourea_rigida,Palicourea_quadrifolia
252,Palicourea_egensis,Palicourea_quadrifolia
253,Palicourea_polycephala,Palicourea_quadrifolia
254,Palicourea_deflexa,Palicourea_quadrifolia
255,Palicourea_woronovii,Palicourea_quadrifolia
256,Palicourea_bangii,Palicourea_quadrifolia
257,Palicourea_flavifolia,Palicourea_quadrifolia
258,Palicourea_reticulata,Palicourea_quadrifolia
259,Palicourea_stipularis,Palicourea_quadrifolia
260,Palicourea_flavescens,Palicourea_quadrifolia
261,Palicourea_stenosepala,Palicourea_quadrifolia
262,Palicourea_lineata,Palicourea_quadrifolia
263,Palicourea_padifolia,Palicourea_quadrifolia
264,Palicourea_lehmannii,Palicourea_quadrifolia
265,Palicourea_thyrsiflora,Palicourea_quadrifolia
266,Palicourea_demissa,Palicourea_quadrifolia
267,Palicourea_amethystina,Palicourea_quadrifolia
268,Palicourea_standleyana,Palicourea_quadrifolia
269,Palicourea_seemannii,Palicourea_quadrifolia
270,Palicourea_pyramidalis,Palicourea_quadrifolia
271,Palicourea_luteonivea,Palicourea_quadrifolia
272,Palicourea_sulphurea,Palicourea_quadrifolia
273,Palicourea_apicata,Palicourea_quadrifolia
274,Palicourea_loxensis,Palicourea_quadrifolia
275,Palicourea_angustifolia,Palicourea_quadrifolia
276,Palicourea_tetragona,Palicourea_quadrifolia
277,Palicourea_domingensis,Palicourea_quadrifolia
278,Palicourea_pubescens,Palicourea_quadrifolia
279,Palicourea_correae,Palicourea_quadrifolia
280,Palicourea_elata,Palicourea_quadrifolia
281,Palicourea_berteroana,Palicourea_quadrifolia
282,Palicourea_petiolaris,Palicourea_quadrifolia
283,Palicourea_timbiquensis,Palicourea_quadrifolia
284,Palicourea_acanthacea,Palicourea_quadrifolia
285,Palicourea_brachiata,Palicourea_quadrifolia
286,Palicourea_glomerulata,Palicourea_quadrifolia
