"species","ID","wc2.1_5m_bio_1","wc2.1_5m_bio_4","wc2.1_5m_bio_5","wc2.1_5m_bio_12","elev"
"Palicourea_anceps",0.301029995663981,1.18564129493538,1.64821177601041,1.34474585432441,3.01199311465926,2343
"Palicourea_anceps",0.477121254719662,1.02657924297205,1.84611297946232,1.24221829672542,2.96236933567002,3113
"Palicourea_anceps",0.602059991327962,1.00662109982462,1.85432267801414,1.22793810834744,3,3182
"Palicourea_anceps",0.698970004336019,1.2233585585395,1.53027995530962,1.36440089297229,3.10687054447865,2172
"Palicourea_anceps",0.778151250383644,1.17583301289923,1.4900284359392,1.32739982376418,3.11226976841727,2506
"Palicourea_anceps",0.845098040014257,1.16668659200382,1.5718556360925,1.33102217722644,3.00518051250378,2532
"Palicourea_anceps",0.903089986991944,1.02657924297205,1.84611297946232,1.24221829672542,2.96236933567002,3113
"Palicourea_anceps",0.954242509439325,0.932803404522577,1.83380169923536,1.17577266888588,3.06520612805431,3458
"Palicourea_anceps",1,1.16886193312577,1.54948902169391,1.29318571109253,3.37254380075907,2551
"Palicourea_anceps",1.04139268515823,1.16886193312577,1.54948902169391,1.29318571109253,3.37254380075907,2551
"Palicourea_anceps",1.07918124604762,1.18564129493538,1.64821177601041,1.34474585432441,3.01199311465926,2343
"Palicourea_anceps",1.11394335230684,1.17583301289923,1.4900284359392,1.32739982376418,3.11226976841727,2506
"Palicourea_anceps",1.14612803567824,1.10984138608372,1.79126168598252,1.30194105382745,2.90687353472207,2773
"Palicourea_anceps",1.17609125905568,0.932803404522577,1.83380169923536,1.17577266888588,3.06520612805431,3458
"Palicourea_anceps",1.20411998265592,0.932803404522577,1.83380169923536,1.17577266888588,3.06520612805431,3458
"Palicourea_anceps",1.23044892137827,1.16886193312577,1.54948902169391,1.29318571109253,3.37254380075907,2551
"Palicourea_anceps",1.25527250510331,1.25076449688094,1.56612184435064,1.36603051569488,3.39776625612645,2107
"Palicourea_anceps",1.27875360095283,1.18414587092465,1.51384286473826,1.33749921072604,3.01786771896351,2413
"Palicourea_anceps",1.30102999566398,1.1840913878227,1.57860727247554,1.34014655549115,3.01367969729119,2396
"Palicourea_anceps",1.32221929473392,1.31632860551103,1.49291122924853,1.43274488122413,3.09447112864164,1467
