Iteration	Posterior	Likelihood	Prior	extirpation_rate	rate_bg
2900	-223.109	-224.1594	1.05042	0.9232492	0.0501774
2910	-223.8434	-224.7925	0.9491339	1.098444	0.04257833
2920	-224.7785	-225.8286	1.050103	0.6580044	0.05951983
2930	-226.4643	-225.6016	-0.8627047	1.85612	0.05619744
2940	-223.6997	-224.7425	1.042804	0.5525365	0.05471546
2950	-223.1817	-224.1642	0.9824599	0.9992483	0.04830917
2960	-223.2574	-224.3657	1.108249	0.8227767	0.05283673
2970	-222.7133	-223.9814	1.268052	0.7398105	0.04752743
2980	-222.751	-223.9994	1.248418	0.7721168	0.04768887
2990	-223.5361	-224.6449	1.108743	0.6013846	0.05436962
3000	-223.1967	-224.2084	1.011764	1.003132	0.046641
3010	-223.6959	-224.4097	0.7138677	0.4239203	0.05242342
3020	-222.994	-224.0672	1.073194	0.5220188	0.05018435
3030	-223.1794	-224.4401	1.260772	0.8757757	0.0430327
3040	-222.6824	-223.9869	1.304547	0.614049	0.04516235
3050	-223.6134	-224.5	0.8865729	1.108201	0.0445746
3060	-223.021	-224.214	1.193007	0.7090822	0.05168921
3070	-224.4933	-224.6476	0.1542839	1.440353	0.04896235
3080	-223.9495	-224.5849	0.6354292	1.146857	0.0535404
3090	-223.2622	-224.1066	0.8444602	0.4091766	0.04285554
3100	-222.8523	-224.0819	1.229652	0.8375541	0.04617127
3110	-226.8664	-225.6906	-1.175806	2.014392	0.05478379
3120	-222.8108	-224.1143	1.303502	0.7782422	0.04496165
3130	-223.7932	-224.3986	0.6053776	1.223577	0.04791743
3140	-224.3529	-225.8687	1.515725	0.6232077	0.03679345
3150	-222.8021	-224.1359	1.333842	0.7441866	0.04442089
3160	-226.0681	-225.0831	-0.9850139	0.2252905	0.03798316
3170	-223.0663	-224.2546	1.188282	0.6906081	0.05203287
3180	-224.242	-224.9432	0.7012149	1.080397	0.05624897
3190	-222.9527	-224.1575	1.204807	0.6864713	0.05118234
3200	-223.16	-224.243	1.083021	0.9703119	0.04557337
3210	-224.5053	-225.1635	0.6581734	1.265677	0.04194454
3220	-224.1137	-225.1156	1.001869	0.4182581	0.03828275
3230	-223.4268	-224.7277	1.300953	0.8728729	0.04147026
3240	-222.6689	-223.9244	1.255541	0.6097821	0.04727726
3250	-224.3072	-224.9397	0.63258	0.4169708	0.05504474
3260	-224.52	-225.01	0.4899916	0.3905072	0.0552056
3270	-223.2181	-224.1972	0.9791281	1.016207	0.04723774
3280	-223.5341	-224.3191	0.7850132	1.133221	0.04723164
3290	-223.6216	-224.6287	1.007039	0.5258733	0.0540465
