Iteration	Posterior	Likelihood	Prior	er[1][1]	er[2][2]	er[3][3]	er[4][4]	er[5][5]	extirpation_rate	rate_bg
810	-421.295	-421.0938	-0.2011211	1.441299	1.441299	1.441299	1.441299	1.441299	1.441299	0.0302798
820	-423.0757	-421.7622	-1.313485	1.932048	1.932048	1.932048	1.932048	1.932048	1.932048	0.0325598
830	-423.141	-421.392	-1.748967	2.147122	2.147122	2.147122	2.147122	2.147122	2.147122	0.03181421
840	-420.9589	-421.6955	0.7366088	0.9282399	0.9282399	0.9282399	0.9282399	0.9282399	0.9282399	0.02963395
850	-420.7544	-420.6123	-0.1421493	1.456901	1.456901	1.456901	1.456901	1.456901	1.456901	0.02764329
860	-420.992	-421.6173	0.6253729	1.001535	1.001535	1.001535	1.001535	1.001535	1.001535	0.02988163
870	-420.613	-421.2915	0.6784853	0.994893	0.994893	0.994893	0.994893	0.994893	0.994893	0.02861882
880	-420.6871	-421.0629	0.3758021	1.169324	1.169324	1.169324	1.169324	1.169324	1.169324	0.02894919
890	-423.1025	-423.8736	0.7710932	0.7880102	0.7880102	0.7880102	0.7880102	0.7880102	0.7880102	0.03303853
900	-420.7514	-421.7794	1.02795	0.8137119	0.8137119	0.8137119	0.8137119	0.8137119	0.8137119	0.0250582
910	-423.326	-424.5826	1.256628	0.7087082	0.7087082	0.7087082	0.7087082	0.7087082	0.7087082	0.02106601
920	-421.2074	-421.9956	0.7882544	0.8722763	0.8722763	0.8722763	0.8722763	0.8722763	0.8722763	0.03009308
930	-423.0442	-420.7146	-2.329634	2.496694	2.496694	2.496694	2.496694	2.496694	2.496694	0.02732424
940	-423.6445	-424.6531	1.008578	0.4888599	0.4888599	0.4888599	0.4888599	0.4888599	0.4888599	0.02144452
950	-421.4251	-422.4102	0.9850383	0.9230203	0.9230203	0.9230203	0.9230203	0.9230203	0.9230203	0.02327097
960	-422.7908	-420.6339	-2.156884	2.394552	2.394552	2.394552	2.394552	2.394552	2.394552	0.02841931
970	-422.2827	-423.3933	1.110599	0.570069	0.570069	0.570069	0.570069	0.570069	0.570069	0.02277438
980	-422.564	-423.0343	0.4702853	1.039718	1.039718	1.039718	1.039718	1.039718	1.039718	0.03289031
990	-420.9282	-420.555	-0.3731835	1.563351	1.563351	1.563351	1.563351	1.563351	1.563351	0.02789761
1000	-421.1911	-420.4928	-0.6983324	1.722118	1.722118	1.722118	1.722118	1.722118	1.722118	0.02757798
1010	-420.4198	-421.0667	0.6468823	1.06182	1.06182	1.06182	1.06182	1.06182	1.06182	0.0265988
1020	-420.7292	-421.2754	0.5461789	1.155015	1.155015	1.155015	1.155015	1.155015	1.155015	0.02505408
1030	-420.8049	-421.8134	1.008537	0.6924703	0.6924703	0.6924703	0.6924703	0.6924703	0.6924703	0.02704554
1040	-420.7686	-420.6077	-0.1609022	1.473364	1.473364	1.473364	1.473364	1.473364	1.473364	0.02722443
1050	-420.4288	-421.2083	0.7795623	0.9609562	0.9609562	0.9609562	0.9609562	0.9609562	0.9609562	0.02716494
1060	-421.2905	-422.3195	1.029048	0.8767489	0.8767489	0.8767489	0.8767489	0.8767489	0.8767489	0.02353699
1070	-423.8973	-420.9973	-2.900001	2.783997	2.783997	2.783997	2.783997	2.783997	2.783997	0.02690736
1080	-421.7538	-422.8796	1.125771	0.613894	0.613894	0.613894	0.613894	0.613894	0.613894	0.02345053
1090	-420.6278	-421.5492	0.9213503	0.8169485	0.8169485	0.8169485	0.8169485	0.8169485	0.8169485	0.02780143
1100	-421.209	-422.093	0.884087	0.779643	0.779643	0.779643	0.779643	0.779643	0.779643	0.02967462
1110	-421.3573	-421.8254	0.4681514	1.080607	1.080607	1.080607	1.080607	1.080607	1.080607	0.03082932
1120	-421.0753	-421.8851	0.8097391	0.8635521	0.8635521	0.8635521	0.8635521	0.8635521	0.8635521	0.02973105
1130	-422.5661	-422.8844	0.3183204	0.3791181	0.3791181	0.3791181	0.3791181	0.3791181	0.3791181	0.02657635
1140	-421.7369	-420.79	-0.9469426	1.872843	1.872843	1.872843	1.872843	1.872843	1.872843	0.02561742
1150	-423.927	-423.3528	-0.5741743	0.2783701	0.2783701	0.2783701	0.2783701	0.2783701	0.2783701	0.02570343
1160	-421.4145	-421.7213	0.3068353	1.17013	1.17013	1.17013	1.17013	1.17013	1.17013	0.03097076
1170	-420.6894	-420.78	0.09059888	1.327974	1.327974	1.327974	1.327974	1.327974	1.327974	0.02844353
