Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]	rf[1]	rf[2]	rf[3]	rf[4]
58	-130.2291	-167.2515	37.0224	0.002752462	0.02696922	0.01037339	0.02149585	0.0001774681	0.005705733	0.02319057	0.0136557	0.01748252	0.01621128	0.01772044	0.04259868	0.00169053	0.461843	0.416824	0.119643
59	-131.6875	-167.0376	35.35007	0.002366725	0.02552397	0.01037339	0.0240434	0.0001774681	0.00990669	0.03684396	0.01088294	0.01748252	0.01629761	0.01772044	0.04303246	0.000848819	0.100112	0.387244	0.511795
60	-132.9787	-169.1558	36.17711	0.001219084	0.02880337	0.01148994	0.0240434	0.000120352	0.005163143	0.03848732	0.01495179	0.01630604	0.01775838	0.01772044	0.03051816	0.000848541	0.100079	0.387444	0.511628
61	-129.8153	-167.0505	37.23514	0.001202776	0.02880337	0.008526283	0.01056392	0.0001755805	0.006179762	0.02176122	0.02252873	0.01879179	0.01208051	0.02157242	0.04407099	0.00236431	0.10696	0.414083	0.476593
62	-128.1906	-166.8082	38.61756	0.001117181	0.02880337	0.004284821	0.00920592	0.0002235106	0.00545926	0.02572629	0.01632081	0.01440446	0.01499221	0.01815919	0.04407099	0.00589409	0.106582	0.412618	0.474907
63	-129.6047	-166.0046	36.39989	0.001106665	0.03412759	0.007311321	0.01226015	0.0001534661	0.004974876	0.02572629	0.01632081	0.02177768	0.01499221	0.02479131	0.04086526	0.0013468	0.0326738	0.857463	0.108517
64	-128.1573	-164.9685	36.81111	0.001100407	0.02476235	0.004896533	0.01581852	0.0001849056	0.004974876	0.03103892	0.01513362	0.02177768	0.0111971	0.02864481	0.04086526	0.00137061	0.0332513	0.872619	0.0927586
65	-126.148	-164.3781	38.23007	0.001092412	0.02476235	0.004412489	0.00595336	0.0002917965	0.004974876	0.03691084	0.01085323	0.01945388	0.007315813	0.02966275	0.04086526	0.00424334	0.102944	0.706398	0.186414
66	-124.5398	-163.7448	39.20499	0.0009401966	0.02476235	0.006425896	0.004888883	0.0004039806	0.002665147	0.02648626	0.006237639	0.02423308	0.005175008	0.02966275	0.04515485	0.00264362	0.0447311	0.836488	0.116137
67	-129.1635	-167.3039	38.14036	0.0007567199	0.02476235	0.005938316	0.004925309	0.0005248795	0.002665147	0.02161351	0.006237639	0.02423308	0.03458033	0.01603235	0.04515485	0.00258363	0.043716	0.817505	0.136195
68	-129.8642	-167.1374	37.27321	0.0007919607	0.02953693	0.004611931	0.004809053	0.0007316769	0.01069849	0.02853141	0.005695855	0.0207485	0.02824563	0.01632965	0.04515485	0.00258363	0.043716	0.817505	0.136195
69	-128.9277	-167.0865	38.15879	0.001031904	0.03280981	0.004611931	0.004551283	0.001128409	0.008174398	0.01892805	0.006865117	0.01558307	0.02824563	0.02016021	0.04515485	0.00305438	0.0516813	0.767561	0.177703
70	-127.8313	-164.8491	37.01783	0.001103468	0.0185746	0.004890022	0.004551283	0.001122142	0.009607726	0.01892478	0.004520242	0.01545943	0.02989089	0.03024023	0.05949309	0.00267684	0.0452931	0.796292	0.155738
71	-128.4233	-165.4445	37.02117	0.0005400429	0.01723848	0.009702787	0.006142141	0.001297867	0.00903312	0.01892478	0.003845625	0.0205322	0.02989089	0.04189962	0.03929773	0.00267684	0.0452931	0.796292	0.155738
72	-131.9873	-167.0213	35.03402	0.0008313471	0.02098966	0.01130384	0.009547308	0.0004359265	0.005603043	0.03676365	0.003898477	0.01101517	0.02989089	0.05461898	0.03283721	0.0026159	0.044262	0.778164	0.174958
73	-130.6831	-166.0114	35.32831	0.0009662321	0.01839453	0.006845696	0.008493952	0.0003921072	0.01115156	0.02532889	0.003898477	0.01728768	0.02989089	0.05461898	0.03759483	0.0026159	0.044262	0.778164	0.174958
74	-130.7024	-163.5103	32.80786	0.0009221268	0.01288234	0.007847347	0.009563458	0.0003921072	0.01199327	0.04064716	0.003310312	0.01617205	0.01466464	0.05789416	0.06316893	0.0026159	0.044262	0.778164	0.174958
75	-127.8981	-163.3364	35.43829	0.002442609	0.01347049	0.01127399	0.01107777	0.0003921072	0.01199327	0.03104812	0.002609868	0.01746425	0.009592053	0.03925719	0.06316893	0.00797194	0.172454	0.28639	0.533184
76	-128.3079	-163.7467	35.43878	0.002838134	0.01084184	0.00880259	0.01504308	0.0003407938	0.009038166	0.03104812	0.004281271	0.01842801	0.01652623	0.03342878	0.06316893	0.00786483	0.183573	0.282542	0.52602
77	-128.0071	-166.4125	38.4054	0.002838134	0.01251615	0.008663872	0.01624446	0.0003407938	0.009038166	0.01960421	0.004281271	0.01237171	0.02004263	0.03406178	0.04483503	0.00565941	0.474866	0.140958	0.378516
78	-127.6449	-164.5834	36.93852	0.002050941	0.02028637	0.007431231	0.0179624	0.0002344209	0.005551664	0.01922221	0.008726408	0.01237171	0.01135764	0.03454777	0.05940895	0.011704	0.104745	0.23975	0.643801
79	-130.4539	-166.0445	35.59066	0.001118141	0.02414665	0.004125201	0.02553492	0.0001778628	0.005551664	0.01648202	0.0123651	0.0156003	0.01324529	0.03454777	0.05940895	0.0145097	0.0564232	0.13093	0.798137
80	-129.8964	-166.7195	36.8231	0.001118141	0.02414665	0.005498491	0.02739836	0.0001609304	0.005551664	0.01663376	0.01448806	0.01589984	0.01592669	0.02569952	0.04775591	0.0168158	0.033169	0.316374	0.633641
81	-129.8755	-168.4355	38.55994	0.001716992	0.0129362	0.008224904	0.03244874	0.0002295418	0.005813431	0.01515324	0.01448806	0.0166229	0.01402145	0.02816031	0.03351448	0.0179665	0.0159242	0.321734	0.644376
82	-127.9329	-167.7845	39.85164	0.001174633	0.01008109	0.01112145	0.02288648	0.0004637035	0.005373828	0.01593034	0.009111073	0.01911833	0.01402145	0.0279293	0.03351448	0.018053	0.0111865	0.323283	0.647478
83	-130.2297	-164.2863	34.05663	0.001174633	0.01016589	0.01112145	0.02427842	0.0006432857	0.013071	0.01915086	0.01154394	0.008907403	0.02112209	0.0279293	0.07816438	0.0143603	0.00889831	0.461705	0.515037
84	-133.0296	-166.2936	33.26401	0.001179429	0.01245504	0.007958987	0.02427842	0.001048809	0.013071	0.02617081	0.02407414	0.01274007	0.02112209	0.03503251	0.05587551	0.0175511	0.0108755	0.342095	0.629478
85	-133.2711	-167.9658	34.69474	0.001179429	0.01245504	0.008492683	0.02427842	0.0004770252	0.01471567	0.03130438	0.02091548	0.01274007	0.01739692	0.04167145	0.03541952	0.358797	0.0699949	0.192419	0.378789
86	-134.2845	-171.4389	37.15435	0.001641261	0.01225822	0.006234454	0.02146876	0.0005463367	0.0155446	0.03130438	0.0167816	0.007191077	0.01739692	0.04616466	0.0205135	0.414118	0.0394969	0.332641	0.213744
87	-132.3404	-170.218	37.87753	0.0007230832	0.01346396	0.004693906	0.0212575	0.0004867879	0.01582261	0.03288103	0.01518291	0.007336228	0.01581101	0.0418166	0.0205135	0.14388	0.0137227	0.768135	0.0742625
88	-127.7891	-166.1498	38.36071	0.0007230832	0.0115007	0.01011925	0.02340985	0.0004867879	0.01225887	0.02369697	0.006471866	0.01321412	0.01581101	0.03581114	0.03177068	0.100021	0.0153622	0.533986	0.35063
89	-128.4402	-167.2226	38.78243	0.0007230832	0.0123548	0.0133575	0.01494458	0.0004867879	0.01097763	0.01689161	0.01030489	0.01321412	0.0246532	0.02307335	0.04017768	0.297047	0.0444236	0.397512	0.261018
90	-133.3391	-171.1857	37.84664	0.0006882218	0.02061899	0.01754098	0.01494458	0.0004572453	0.013411	0.02094515	0.01130521	0.01811852	0.0246532	0.02701979	0.02058765	0.519976	0.026293	0.208433	0.245298
