Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]
86	-174.9641	-177.4757	2.511626	0.02066762	0.02066762	0.02066762	0.02066762	0.02066762	0.02066762	0.02066762	0.02066762	0.02066762	0.02066762	0.02066762	0.02066762	0.02066762
87	-174.6012	-177.3458	2.744517	0.01839512	0.01839512	0.01839512	0.01839512	0.01839512	0.01839512	0.01839512	0.01839512	0.01839512	0.01839512	0.01839512	0.01839512	0.01839512
88	-174.6581	-177.3285	2.670411	0.01911823	0.01911823	0.01911823	0.01911823	0.01911823	0.01911823	0.01911823	0.01911823	0.01911823	0.01911823	0.01911823	0.01911823	0.01911823
89	-174.6411	-177.3273	2.686188	0.01896428	0.01896428	0.01896428	0.01896428	0.01896428	0.01896428	0.01896428	0.01896428	0.01896428	0.01896428	0.01896428	0.01896428	0.01896428
90	-174.6411	-177.3273	2.686188	0.01896428	0.01896428	0.01896428	0.01896428	0.01896428	0.01896428	0.01896428	0.01896428	0.01896428	0.01896428	0.01896428	0.01896428	0.01896428
91	-174.6863	-177.3346	2.648278	0.01933419	0.01933419	0.01933419	0.01933419	0.01933419	0.01933419	0.01933419	0.01933419	0.01933419	0.01933419	0.01933419	0.01933419	0.01933419
92	-174.6863	-177.3346	2.648278	0.01933419	0.01933419	0.01933419	0.01933419	0.01933419	0.01933419	0.01933419	0.01933419	0.01933419	0.01933419	0.01933419	0.01933419	0.01933419
93	-175.458	-178.5896	3.131585	0.01461819	0.01461819	0.01461819	0.01461819	0.01461819	0.01461819	0.01461819	0.01461819	0.01461819	0.01461819	0.01461819	0.01461819	0.01461819
94	-174.7953	-177.3793	2.584067	0.01996076	0.01996076	0.01996076	0.01996076	0.01996076	0.01996076	0.01996076	0.01996076	0.01996076	0.01996076	0.01996076	0.01996076	0.01996076
95	-175.871	-179.0721	3.201031	0.01394055	0.01394055	0.01394055	0.01394055	0.01394055	0.01394055	0.01394055	0.01394055	0.01394055	0.01394055	0.01394055	0.01394055	0.01394055
96	-176.5809	-179.8746	3.293734	0.01303598	0.01303598	0.01303598	0.01303598	0.01303598	0.01303598	0.01303598	0.01303598	0.01303598	0.01303598	0.01303598	0.01303598	0.01303598
97	-176.5809	-179.8746	3.293734	0.01303598	0.01303598	0.01303598	0.01303598	0.01303598	0.01303598	0.01303598	0.01303598	0.01303598	0.01303598	0.01303598	0.01303598	0.01303598
98	-174.7305	-177.6542	2.923763	0.01664607	0.01664607	0.01664607	0.01664607	0.01664607	0.01664607	0.01664607	0.01664607	0.01664607	0.01664607	0.01664607	0.01664607	0.01664607
99	-174.7305	-177.6542	2.923763	0.01664607	0.01664607	0.01664607	0.01664607	0.01664607	0.01664607	0.01664607	0.01664607	0.01664607	0.01664607	0.01664607	0.01664607	0.01664607
100	-175.2204	-177.6467	2.426254	0.02150067	0.02150067	0.02150067	0.02150067	0.02150067	0.02150067	0.02150067	0.02150067	0.02150067	0.02150067	0.02150067	0.02150067	0.02150067
101	-174.7211	-177.6398	2.918719	0.01669529	0.01669529	0.01669529	0.01669529	0.01669529	0.01669529	0.01669529	0.01669529	0.01669529	0.01669529	0.01669529	0.01669529	0.01669529
102	-174.623	-177.4672	2.844136	0.01742306	0.01742306	0.01742306	0.01742306	0.01742306	0.01742306	0.01742306	0.01742306	0.01742306	0.01742306	0.01742306	0.01742306	0.01742306
103	-174.6373	-177.3274	2.690126	0.01892586	0.01892586	0.01892586	0.01892586	0.01892586	0.01892586	0.01892586	0.01892586	0.01892586	0.01892586	0.01892586	0.01892586	0.01892586
104	-177.0267	-179.0657	2.038986	0.02527955	0.02527955	0.02527955	0.02527955	0.02527955	0.02527955	0.02527955	0.02527955	0.02527955	0.02527955	0.02527955	0.02527955	0.02527955
105	-176.6527	-178.758	2.105295	0.02463252	0.02463252	0.02463252	0.02463252	0.02463252	0.02463252	0.02463252	0.02463252	0.02463252	0.02463252	0.02463252	0.02463252	0.02463252
106	-176.6527	-178.758	2.105295	0.02463252	0.02463252	0.02463252	0.02463252	0.02463252	0.02463252	0.02463252	0.02463252	0.02463252	0.02463252	0.02463252	0.02463252	0.02463252
107	-176.6527	-178.758	2.105295	0.02463252	0.02463252	0.02463252	0.02463252	0.02463252	0.02463252	0.02463252	0.02463252	0.02463252	0.02463252	0.02463252	0.02463252	0.02463252
108	-174.8341	-177.8044	2.970318	0.0161918	0.0161918	0.0161918	0.0161918	0.0161918	0.0161918	0.0161918	0.0161918	0.0161918	0.0161918	0.0161918	0.0161918	0.0161918
109	-174.9673	-177.9833	3.015987	0.01574617	0.01574617	0.01574617	0.01574617	0.01574617	0.01574617	0.01574617	0.01574617	0.01574617	0.01574617	0.01574617	0.01574617	0.01574617
110	-174.9673	-177.9833	3.015987	0.01574617	0.01574617	0.01574617	0.01574617	0.01574617	0.01574617	0.01574617	0.01574617	0.01574617	0.01574617	0.01574617	0.01574617	0.01574617
111	-174.9673	-177.9833	3.015987	0.01574617	0.01574617	0.01574617	0.01574617	0.01574617	0.01574617	0.01574617	0.01574617	0.01574617	0.01574617	0.01574617	0.01574617	0.01574617
112	-175.1008	-178.1541	3.053324	0.01538184	0.01538184	0.01538184	0.01538184	0.01538184	0.01538184	0.01538184	0.01538184	0.01538184	0.01538184	0.01538184	0.01538184	0.01538184
