Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]
67	1	-174.604	-177.4183	2.814344	0.01771376	0.01771376	0.01771376	0.01771376	0.01771376	0.01771376	0.01771376	0.01771376	0.01771376	0.01771376	0.01771376	0.01771376	0.01771376
68	0	-174.7854	-177.7355	2.950166	0.01638843	0.01638843	0.01638843	0.01638843	0.01638843	0.01638843	0.01638843	0.01638843	0.01638843	0.01638843	0.01638843	0.01638843	0.01638843
69	1	-174.7142	-177.3436	2.629372	0.01951868	0.01951868	0.01951868	0.01951868	0.01951868	0.01951868	0.01951868	0.01951868	0.01951868	0.01951868	0.01951868	0.01951868	0.01951868
70	0	-174.6262	-177.4741	2.847877	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655
71	1	-174.5992	-177.4009	2.80172	0.01783694	0.01783694	0.01783694	0.01783694	0.01783694	0.01783694	0.01783694	0.01783694	0.01783694	0.01783694	0.01783694	0.01783694	0.01783694
72	0	-174.6262	-177.4741	2.847877	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655	0.01738655
73	1	-174.5955	-177.368	2.772538	0.01812169	0.01812169	0.01812169	0.01812169	0.01812169	0.01812169	0.01812169	0.01812169	0.01812169	0.01812169	0.01812169	0.01812169	0.01812169
74	0	-174.6046	-177.4203	2.815661	0.01770091	0.01770091	0.01770091	0.01770091	0.01770091	0.01770091	0.01770091	0.01770091	0.01770091	0.01770091	0.01770091	0.01770091	0.01770091
75	1	-176.43	-178.577	2.146961	0.02422594	0.02422594	0.02422594	0.02422594	0.02422594	0.02422594	0.02422594	0.02422594	0.02422594	0.02422594	0.02422594	0.02422594	0.02422594
76	0	-174.879	-177.866	2.986997	0.01602905	0.01602905	0.01602905	0.01602905	0.01602905	0.01602905	0.01602905	0.01602905	0.01602905	0.01602905	0.01602905	0.01602905	0.01602905
77	1	-175.138	-178.2007	3.062717	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019
78	0	-174.9801	-177.4857	2.50565	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594
79	1	-175.138	-178.2007	3.062717	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019	0.01529019
80	0	-174.9801	-177.4857	2.50565	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594	0.02072594
81	1	-174.9981	-178.0233	3.025201	0.01565626	0.01565626	0.01565626	0.01565626	0.01565626	0.01565626	0.01565626	0.01565626	0.01565626	0.01565626	0.01565626	0.01565626	0.01565626
82	0	-174.8287	-177.3967	2.567994	0.02011759	0.02011759	0.02011759	0.02011759	0.02011759	0.02011759	0.02011759	0.02011759	0.02011759	0.02011759	0.02011759	0.02011759	0.02011759
83	1	-175.0749	-177.5472	2.472255	0.0210518	0.0210518	0.0210518	0.0210518	0.0210518	0.0210518	0.0210518	0.0210518	0.0210518	0.0210518	0.0210518	0.0210518	0.0210518
84	0	-174.7085	-177.3416	2.633059	0.0194827	0.0194827	0.0194827	0.0194827	0.0194827	0.0194827	0.0194827	0.0194827	0.0194827	0.0194827	0.0194827	0.0194827	0.0194827
85	1	-174.682	-177.577	2.895086	0.01692589	0.01692589	0.01692589	0.01692589	0.01692589	0.01692589	0.01692589	0.01692589	0.01692589	0.01692589	0.01692589	0.01692589	0.01692589
86	0	-176.205	-178.3961	2.191127	0.02379498	0.02379498	0.02379498	0.02379498	0.02379498	0.02379498	0.02379498	0.02379498	0.02379498	0.02379498	0.02379498	0.02379498	0.02379498
87	1	-175.2432	-177.6627	2.419495	0.02156661	0.02156661	0.02156661	0.02156661	0.02156661	0.02156661	0.02156661	0.02156661	0.02156661	0.02156661	0.02156661	0.02156661	0.02156661
88	0	-175.0147	-177.5078	2.493059	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879
89	1	-174.624	-177.4693	2.845306	0.01741164	0.01741164	0.01741164	0.01741164	0.01741164	0.01741164	0.01741164	0.01741164	0.01741164	0.01741164	0.01741164	0.01741164	0.01741164
90	0	-175.0147	-177.5078	2.493059	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879	0.02084879
91	1	-174.7282	-177.3489	2.620742	0.01960289	0.01960289	0.01960289	0.01960289	0.01960289	0.01960289	0.01960289	0.01960289	0.01960289	0.01960289	0.01960289	0.01960289	0.01960289
92	0	-174.8091	-177.3864	2.577269	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709
93	1	-174.6048	-177.3407	2.735896	0.01847924	0.01847924	0.01847924	0.01847924	0.01847924	0.01847924	0.01847924	0.01847924	0.01847924	0.01847924	0.01847924	0.01847924	0.01847924
94	0	-174.8091	-177.3864	2.577269	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709	0.02002709
95	1	-177.4882	-179.4504	1.962218	0.02602863	0.02602863	0.02602863	0.02602863	0.02602863	0.02602863	0.02602863	0.02602863	0.02602863	0.02602863	0.02602863	0.02602863	0.02602863
96	0	-174.6007	-177.3468	2.746146	0.01837923	0.01837923	0.01837923	0.01837923	0.01837923	0.01837923	0.01837923	0.01837923	0.01837923	0.01837923	0.01837923	0.01837923	0.01837923
97	1	-174.7467	-177.3566	2.609893	0.01970875	0.01970875	0.01970875	0.01970875	0.01970875	0.01970875	0.01970875	0.01970875	0.01970875	0.01970875	0.01970875	0.01970875	0.01970875
98	0	-175.2898	-177.6958	2.405991	0.02169838	0.02169838	0.02169838	0.02169838	0.02169838	0.02169838	0.02169838	0.02169838	0.02169838	0.02169838	0.02169838	0.02169838	0.02169838
99	1	-174.8884	-177.4301	2.541681	0.02037435	0.02037435	0.02037435	0.02037435	0.02037435	0.02037435	0.02037435	0.02037435	0.02037435	0.02037435	0.02037435	0.02037435	0.02037435
100	0	-174.6981	-177.3381	2.639997	0.019415	0.019415	0.019415	0.019415	0.019415	0.019415	0.019415	0.019415	0.019415	0.019415	0.019415	0.019415	0.019415
101	1	-174.6019	-177.4113	2.809426	0.01776175	0.01776175	0.01776175	0.01776175	0.01776175	0.01776175	0.01776175	0.01776175	0.01776175	0.01776175	0.01776175	0.01776175	0.01776175
102	0	-174.6	-177.4044	2.804315	0.01781162	0.01781162	0.01781162	0.01781162	0.01781162	0.01781162	0.01781162	0.01781162	0.01781162	0.01781162	0.01781162	0.01781162	0.01781162
103	1	-174.883	-177.427	2.543935	0.02035235	0.02035235	0.02035235	0.02035235	0.02035235	0.02035235	0.02035235	0.02035235	0.02035235	0.02035235	0.02035235	0.02035235	0.02035235
104	0	-175.2547	-177.6708	2.416119	0.02159956	0.02159956	0.02159956	0.02159956	0.02159956	0.02159956	0.02159956	0.02159956	0.02159956	0.02159956	0.02159956	0.02159956	0.02159956
105	1	-174.6237	-177.4686	2.844934	0.01741527	0.01741527	0.01741527	0.01741527	0.01741527	0.01741527	0.01741527	0.01741527	0.01741527	0.01741527	0.01741527	0.01741527	0.01741527
106	0	-174.833	-177.8029	2.969898	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959
107	1	-174.6237	-177.4686	2.844934	0.01741527	0.01741527	0.01741527	0.01741527	0.01741527	0.01741527	0.01741527	0.01741527	0.01741527	0.01741527	0.01741527	0.01741527	0.01741527
108	0	-174.833	-177.8029	2.969898	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959	0.0161959
109	1	-174.6237	-177.4686	2.844934	0.01741527	0.01741527	0.01741527	0.01741527	0.01741527	0.01741527	0.01741527	0.01741527	0.01741527	0.01741527	0.01741527	0.01741527	0.01741527
110	0	-175.2698	-178.3631	3.093321	0.01499156	0.01499156	0.01499156	0.01499156	0.01499156	0.01499156	0.01499156	0.01499156	0.01499156	0.01499156	0.01499156	0.01499156	0.01499156
111	1	-176.4395	-178.5846	2.145149	0.02424362	0.02424362	0.02424362	0.02424362	0.02424362	0.02424362	0.02424362	0.02424362	0.02424362	0.02424362	0.02424362	0.02424362	0.02424362
112	0	-174.6177	-177.3314	2.713708	0.01869575	0.01869575	0.01869575	0.01869575	0.01869575	0.01869575	0.01869575	0.01869575	0.01869575	0.01869575	0.01869575	0.01869575	0.01869575
113	1	-176.4395	-178.5846	2.145149	0.02424362	0.02424362	0.02424362	0.02424362	0.02424362	0.02424362	0.02424362	0.02424362	0.02424362	0.02424362	0.02424362	0.02424362	0.02424362
114	0	-174.6795	-177.3328	2.653297	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522	0.01928522
